#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.301785603889     All      -0.9048134821759807       0.729505597592528          0.33275540779302837       0.5472008373407666         
Zeropoint     AB|CNIa02|SDSS_i                      7388.566006095735     All      0.6677133329237216        -0.16841334583794776       0.7135113932952741        -0.24051323057987517       
Zeropoint     AB|CNIa02|SDSS_r                      6092.7844089368045    All      1.1815309347848602        -0.11710217218503516       0.037392920194556645      -0.42133885241147917       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.673776394256     All      0.052540960805990744      0.5541059369196688         -1.0807253959341567       0.11514840288947836        
Check         All|All|All                           All                   All      0.9969717463385918        0.9980960164892139         0.0029343253487024157     0.0004971572388906553      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.301785603889     All      -0.000535739589596372     0.00031379949940800087     -0.0003713462225056675    0.0002601513539156666      
Lambda        AB|CNIa02|SDSS_i                      7388.566006095735     All      5.487296868135065e-06     -2.6828598885841212e-05    -0.0003632388426997256    -2.673603166248817e-05     
Lambda        AB|CNIa02|SDSS_r                      6092.7844089368045    All      0.00026175252478653353    -5.169425674045173e-05     -0.0002060418726907178    -0.00011129463129824549    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.673776394256     All      -5.542004954510184e-05    0.0001431085602013354      -0.0011186945993977592    1.4745097599004637e-05     
MWEBV         All|All|All                           All                   All      -0.8466352116603795       -4.051482373902804         0.10499063912969842       -1.0392389070624286        
Redshift      All|All|All                           All                   All      4.454759985576631         -1.9170458561363901        5.225540757062919         -1.8423149048844956        
