#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.301785603889     All      -1.037271110639232         0.7519854916919755         0.13196523105995053       0.5887087423408537         
Zeropoint     AB|CNIa02|SDSS_i                      7388.566006095735     All      0.5144895292317482         -0.12188213636745715       0.31285149899876036       -0.19332606196624597       
Zeropoint     AB|CNIa02|SDSS_r                      6092.7844089368045    All      1.2032287204464105         -0.12476721616430098       0.004212938456365056      -0.43238396222872627       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.673776394256     All      0.3165793217271585         0.492928728819475          -0.4484598622063031       0.03743009966451237        
Check         All|All|All                           All                   All      0.9970264607660851         0.9982648679796924         0.0005698063087729022     0.0004288178103938195      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.301785603889     All      -0.0003724396647757904     0.00017362903000792848     -0.0003812598459267211    0.00016085866315692447     
Lambda        AB|CNIa02|SDSS_i                      7388.566006095735     All      -7.268716605208126e-05     -1.0012682614198714e-05    -0.0005001524731435502    -1.9043665741966864e-06    
Lambda        AB|CNIa02|SDSS_r                      6092.7844089368045    All      -4.3851643666842954e-05    -3.732013621789365e-05     -0.0006484954442728519    -2.681184638971707e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.673776394256     All      1.983640408175138e-05      3.32412326951965e-05       -0.0008758068500262812    -3.4716843596141826e-05    
MWEBV         All|All|All                           All                   All      -0.8803269450934508        -4.038689427172137         0.039231233483562465      -1.0270318576845077        
Redshift      All|All|All                           All                   All      5.042457380599543          -0.6399531960042282        4.878938609804181         -1.6332234485539407        
