#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4485.642142891831    All      -0.7814542524638833        0.4776223449413308        -0.28418390345250893       0.39744084776293825       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4166.102415583981    All      -0.7446831804003202        0.39986711977304523       0.023359929906089427       0.37386013373631916       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7175.360716216197    All      0.11995449891655885        -0.011304417449853332     0.16843539229504967        -0.03523884938827048      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5220.895083056289    All      0.7392880622113763         0.18462064808169032       0.33083723930555503        -0.16590967828821662      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5913.061357004651    All      1.6653595690811622         -0.05285059081625576      -0.2366991366117455        -0.5702403718609861       
Check         All|All|All                      All                  All      0.9984646973448942         0.9979551045299573        0.0017495214424396999      -8.791803821583954e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4485.642142891831    All      -0.00025546106433348267    9.054940772935996e-06     -0.001052006051195124      3.921536680543541e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4166.102415583981    All      -0.00026336386380925657    0.00014109610645450426    6.035296752368271e-05      0.00013443919440211903    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7175.360716216197    All      -7.662259816809557e-05     7.305015775475505e-06     -0.0001073898525095256     2.254566910415833e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5220.895083056289    All      0.00020453191017062277     3.071587568593924e-05     -0.00040180305855893266    -7.454822589812942e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5913.061357004651    All      -0.00022260939466970948    1.2259570490857273e-05    -0.0006846253861862182     4.5952862297412e-05       
MWEBV         All|All|All                      All                  All      -0.8418851561387579        -3.8537601001255695       0.024139503803041487       -0.9799895218129625       
Redshift      All|All|All                      All                  All      5.398860992468439          -0.28103631740297175      8.674199195079654          -1.4630397459757323       
