#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4485.642142891831    All      -0.8081386117591671        0.4652230272209401        -0.43765056745183606      0.39524544340039275       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4166.102415583981    All      -0.7539674388232002        0.3960660342642086        0.02390997643461623       0.3756707295957496        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7175.360716216197    All      0.1323988033407665         -0.012958118239758676     0.15825591423090368       -0.04028529685045322      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5220.895083056289    All      0.7738435301719544         0.19927616193573527       0.5009986062234184        -0.16479822774710454      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5913.061357004651    All      1.654541636890053          -0.04979067403123594      -0.2478590438948325       -0.5662179152882348       
Check         All|All|All                      All                  All      0.9986779198204065         0.9978164311498894        -0.002345114457730224     -0.0003852668896502376    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4485.642142891831    All      -0.00029198348213684125    8.28098723116032e-06      -0.0011770507948950168    4.5279645103382495e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4166.102415583981    All      -0.00026798407698792       0.00014287029560625653    6.206461175948567e-05     0.00013659844443166972    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7175.360716216197    All      -7.484381675498656e-05     8.14384182407757e-06      -9.170096262866242e-05    2.2939617817243445e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5220.895083056289    All      0.00029943797809349487     3.182627456257183e-05     -0.0001709369641188778    -9.4798067627104e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5913.061357004651    All      -0.0001903979798123541     2.2104099832545693e-05    -0.0004907944565472143    4.731701599281155e-05     
MWEBV         All|All|All                      All                  All      -0.8430661279683807        -3.853967817899573        0.013102738373421685      -0.9801650210990338       
Redshift      All|All|All                      All                  All      4.719728038478786          -0.4106222630891665       5.184747949189855         -1.4397523884459098       
