#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4313.350790323887    All      -1.1625866877120314        0.8222327486698155        0.3459642467224189         0.6619597844243708         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6254.130766779422    All      1.3381741077263523         -0.1242866780778229       0.13609247883257236        -0.47029840918700744       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5323.979917790924    All      0.3466343459580544         0.49823012082548246       -0.335867587358496         0.034391503387398714       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8187.222278115426    All      0.4616863380807317         -0.18846653750825837      -0.18364306505513905       -0.21997132752493292       
Check         All|All|All                                   All                  All      0.983908104053107          1.0077096539092167        -0.03745392685864379       0.006081551099829108       
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4313.350790323887    All      -0.0009961865051293377     0.000495393878255233      -0.0014462688829462852     0.00042131646463222465     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6254.130766779422    All      -0.00029254537271973963    4.1252618337743256e-05    -0.0003043645344753324     9.514659603725158e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5323.979917790924    All      0.00015882282112424532     0.00017724181425521658    -0.0024934595139539948     -0.00010527197403280979    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8187.222278115426    All      -4.6338134699750265e-05    8.17738328035817e-06      -0.00010569147602089131    1.3040972561969487e-05     
MWEBV         All|All|All                                   All                  All      -0.8172316706342713        -4.034699866900748        0.041312475776100754       -1.046191657030994         
Redshift      All|All|All                                   All                  All      6.843388090923046          -2.3157617049743173       10.401984274209285         -2.5192436320295415        
