#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4313.350790323887    All      -1.112670368586865         0.7200882339973624        -0.12926414424664096      0.5912213077597517         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6254.130766779422    All      1.2951645184496048         -0.1254911832302419       0.2657712126409676        -0.45089415164431085       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5323.979917790924    All      0.41932617698831365        0.539598256254159         -0.20519154233053366      0.03001981692721898        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8187.222278115426    All      0.3972488429307225         -0.13694545138527303      0.07186688321117343       -0.17079756720392988       
Check         All|All|All                                   All                  All      0.9990691697817761         0.9972498556360065        0.003182409274966408      -0.00045059416127007923    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4313.350790323887    All      -0.0007933383921627887     0.0003176755817002403     -0.0013416972811356137    0.00030202001509688925     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6254.130766779422    All      -0.00034736388314919895    4.975430680983226e-05     -0.000427307113874239     0.0001102857053284236      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5323.979917790924    All      1.2965762366563564e-05     0.00022077935926767677    -0.0022043536265478987    -3.067845274786611e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8187.222278115426    All      -2.905987879803865e-05     1.0308531233029366e-05    -9.151032100828926e-05    8.739900994440518e-06      
MWEBV         All|All|All                                   All                  All      -0.815899768798841         -4.040540007074878        0.013548542611697923      -1.0497668038886756        
Redshift      All|All|All                                   All                  All      6.75547252475167           -1.8979994751749274       10.662486482940354        -2.3429027204442243        
