#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3436.2526354730962    All      -1.1162634907437574       0.1843990645712168         -0.6195753262245418        0.39601978359029705        
Zeropoint     AB|SDSS|SDSS_z            6473.767240338291     All      0.23697396568153917       0.03478257420947983        0.05740595285799177        -0.06329862408160081       
Zeropoint     AB|SDSS|SDSS_r            4490.154949681476     All      0.7849589552486951        0.540735330964992          0.7992117717565694         -0.04388651842118993       
Zeropoint     AB|SDSS|SDSS_i            5445.097675646834     All      1.0884002852279133        0.2381503177842248         -0.24298848500192705       -0.28779784686936566       
Check         All|All|All               All                   All      0.9940697154143903        0.9980672875299135         -0.005946086611907653      0.0010367942181406797      
Lambda        AB|SDSS|SDSS_g            3436.2526354730962    All      -0.0012353271415274326    0.00019401453925613587     -0.0009442311853514367     0.00042344690827049566     
Lambda        AB|SDSS|SDSS_z            6473.767240338291     All      -7.001976518462648e-05    -1.5648904073604906e-05    -0.00034135858487353084    2.47711237242601e-06       
Lambda        AB|SDSS|SDSS_r            4490.154949681476     All      -0.0006359761293231117    -0.0003651712303734046     -0.004776109157880976      -0.00012492575103582626    
Lambda        AB|SDSS|SDSS_i            5445.097675646834     All      0.0002273416413738239     2.15314225825246e-05       -0.0005886187385604507     -9.33065100892772e-05      
MWEBV         All|All|All               All                   All      -0.7233398196301928       -2.627969079898307         -0.23567384454361573       -0.630917451781951         
Redshift      All|All|All               All                   All      5.8153347535759465        1.6567366785036342         14.792080853858014         -0.6944895759263076        
