#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3436.2526354730962    All      -0.9718780578939541       0.19517561331650057        -0.33487909197397875       0.365203659807824         
Zeropoint     AB|SDSS|SDSS_z            6473.767240338291     All      0.14386805192179455       0.02257839841597331        0.08573318796080308        -0.03568215203752157      
Zeropoint     AB|SDSS|SDSS_r            4490.154949681476     All      0.7266558814410128        0.5382102675911327         0.7308695036290143         -0.028767586922705278     
Zeropoint     AB|SDSS|SDSS_i            5445.097675646834     All      1.09556994140363          0.24210934174462295        -0.4840240251907748        -0.29959996453099125      
Check         All|All|All               All                   All      0.9942158168724831        0.9980736210682295         -0.0023004255749362046     0.0011539563166059197     
Lambda        AB|SDSS|SDSS_g            3436.2526354730962    All      -0.0014594742213294661    0.0002583051079131264      -0.0010742263228999834     0.0005115994537476531     
Lambda        AB|SDSS|SDSS_z            6473.767240338291     All      -3.620622738270925e-05    -5.9118910452259635e-06    -3.751839162676481e-05     8.193588496617756e-06     
Lambda        AB|SDSS|SDSS_r            4490.154949681476     All      -0.0004725789641918309    -0.0002291125426534475     -0.0031534831667472583     -6.142044700520879e-05    
Lambda        AB|SDSS|SDSS_i            5445.097675646834     All      0.00020005523900651877    3.624498195938429e-05      -0.00033830394414951094    -6.84553411712109e-05     
MWEBV         All|All|All               All                   All      -0.6827775059222292       -2.6223718786638983        -0.09061546522535839       -0.6358334499926852       
Redshift      All|All|All               All                   All      4.910802881114548         1.0062390022557821         6.22466736462557           -0.994066596060281        
