#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5078.015838274092     All      0.8031147099037339         0.44463812427633087        0.2962688240279121         -0.10354650056533521      
Zeropoint     AB|SDSS|SDSS_g            3886.1343322865278    All      -1.0971363111099124        0.5532127387658292         -0.3587126539683183        0.5215652821765739        
Zeropoint     AB|SDSS|SDSS_i            6157.981750684468     All      1.1197729766878304         0.0013557439054068254      -0.1555346489337417        -0.37124608458838637      
Zeropoint     AB|SDSS|SDSS_z            7321.326980502047     All      0.16232069340670918        -0.0011732873417713563     0.14946997272602403        -0.04658520992997239      
Check         All|All|All               All                   All      0.9880720688883611         0.9980333196057956         -0.06850850614812387       0.00018748709287996768    
Lambda        AB|SDSS|SDSS_r            5078.015838274092     All      -3.553097083397558e-05     -1.7911704884642038e-05    -0.001278708885497621      -5.132373008594154e-05    
Lambda        AB|SDSS|SDSS_g            3886.1343322865278    All      -0.00160037986547595       0.000697727228299783       -0.0009990120804792078     0.0007039877650651732     
Lambda        AB|SDSS|SDSS_i            6157.981750684468     All      0.00018141327800175536     -1.0370282405975987e-05    -0.00026949031736181906    -7.449633025612396e-05    
Lambda        AB|SDSS|SDSS_z            7321.326980502047     All      -1.0111684183920426e-05    -1.1910164881824107e-06    4.60250079755867e-06       3.1111434218252617e-06    
MWEBV         All|All|All               All                   All      -0.5553722534347023        -3.1725923987632854        0.0015175301049996648      -0.8524469849199342       
Redshift      All|All|All               All                   All      6.661906092669453          0.5000914129247747         3.930650829608817          -1.8316988651753323       
