#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5078.015838274092     All      0.9973080661388403         0.44664767735351774       0.6533954269455071         -0.15021016784813943       
Zeropoint     AB|SDSS|SDSS_g            3886.1343322865278    All      -1.1569184773940338        0.5294420564082358        -0.4027626749641102        0.5313296571114614         
Zeropoint     AB|SDSS|SDSS_i            6157.981750684468     All      1.0673298153802706         0.018603780436521333      -0.32628249503475665       -0.35616506083501986       
Zeropoint     AB|SDSS|SDSS_z            7321.326980502047     All      0.0904922373403044         0.0036711095894759183     0.07426937437517497        -0.024966196567240882      
Check         All|All|All               All                   All      0.9982116414653815         0.9983646237877508        -0.001380368678184779      -1.1768138938793304e-05    
Lambda        AB|SDSS|SDSS_r            5078.015838274092     All      -0.00013279078492123422    -8.566565767157183e-05    -0.0017874511454553637     -6.441553083964901e-05     
Lambda        AB|SDSS|SDSS_g            3886.1343322865278    All      -0.0013789532040553        0.0004796136930070037     -0.0014222538617223266     0.0005419277257349658      
Lambda        AB|SDSS|SDSS_i            6157.981750684468     All      -0.00019259726760018179    -3.143852383326028e-05    -0.0004310395690429261     3.3259388536821045e-05     
Lambda        AB|SDSS|SDSS_z            7321.326980502047     All      -1.9963020337756742e-05    -1.048896806015609e-06    -2.0496038511689258e-05    5.2463082265927385e-06     
MWEBV         All|All|All               All                   All      -0.555085593796572         -3.1629037310612063       0.08252529711687959        -0.8457694369901049        
Redshift      All|All|All               All                   All      6.697316444728527          1.0413308089507467        5.650861125412952          -1.5901686194124451        
