#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|DECam|DECam_r          5170.6533990557955    All      0.2208555028837067         0.5545234381317599         0.04090608179800661       0.11051207441510752      
Zeropoint     AB|DECam|DECam_g          3890.417143170774     All      -0.7307885768948659        0.506922923352171          -0.08393040720166434      0.39941792653433517      
Zeropoint     AB|DECam|DECam_i          6281.698052839158     All      1.0024210219358298         -0.020712409422962708      -0.26287896927473015      -0.3449992997229415      
Zeropoint     AB|DECam|DECam_z          7361.226240852741     All      0.502750947613342          -0.04168172296576955       0.30647422892884035       -0.1636630948585865      
Check         All|All|All               All                   All      0.9952388955380124         0.9990522290951986         0.0005709342504524595     0.001267606367914731     
Lambda        AB|DECam|DECam_r          5170.6533990557955    All      -8.27435669287585e-05      2.3682644643807198e-05     -0.0012873280834677097    -2.27810214535865e-05    
Lambda        AB|DECam|DECam_g          3890.417143170774     All      -0.0008925158096315368     0.0005444397572843374      -0.0005723615697332668    0.0004425218344828719    
Lambda        AB|DECam|DECam_i          6281.698052839158     All      -0.00026211078732321245    -2.983129315602165e-05     -0.0005802450777378028    4.976740016844033e-05    
Lambda        AB|DECam|DECam_z          7361.226240852741     All      -7.547816218293521e-05     -1.7740477446847276e-05    -0.0003302828249776036    4.06805788734731e-06     
MWEBV         All|All|All               All                   All      -0.4730306713865531        -3.0780639312387947        0.058322500858844176      -0.8459423704347167      
Redshift      All|All|All               All                   All      4.053982466431246          0.5451818100370431         -2.539706655030242        -1.2562672534636308      
