#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4109.343608677286     All      -0.3060901659260655        0.5176401768167693        0.9712460787252727         0.31165832427628576       
Zeropoint     AB|PS|PS_i                4977.305098190744     All      1.4766502867542275         0.3696487103528767        -0.5005158969826695        -0.38292255839999234      
Zeropoint     AB|PS|PS_z                5720.138054236476     All      0.4377976221544771         0.034753688951560946      -0.591840682116752         -0.15769580021267465      
Zeropoint     AB|PS|PS_g                3235.8765977375974    All      -0.6239612095629954        0.07646424116725115       0.11747238882376959        0.23339386579775342       
Check         All|All|All               All                   All      0.9843965334196435         0.9985068172884581        -0.0036381115503792416     0.00443383146137219       
Lambda        AB|PS|PS_r                4109.343608677286     All      -0.0002017745546093277     0.0002681308518071428     0.0005152054893630175      0.0001760549050355713     
Lambda        AB|PS|PS_i                4977.305098190744     All      -0.00019607209397676066    -9.375270296765389e-05    -0.0012943370313458788     -2.443152517435787e-05    
Lambda        AB|PS|PS_z                5720.138054236476     All      -6.950624336085312e-05     1.2670203530240595e-05    0.0005297655383123382      5.040857512699807e-05     
Lambda        AB|PS|PS_g                3235.8765977375974    All      -0.0016174232352620197     0.00016002577332792868    -0.00045322623729663236    0.0005587482130554756     
MWEBV         All|All|All               All                   All      -0.5433527703597565        -2.316585289475448        -0.3172164492177366        -0.5917560822991926       
Redshift      All|All|All               All                   All      7.832796115716274          0.9752849040625122        5.701054625755391          -1.9793051231026952       
