#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4109.343608677286     All      -0.3851814658175672        0.5119692714583124        0.7578054126059346        0.3260488856035481         
Zeropoint     AB|PS|PS_i                4977.305098190744     All      1.6397377209524029         0.40032866187864613       0.1659353775764283        -0.39631137209960465       
Zeropoint     AB|PS|PS_z                5720.138054236476     All      0.4000976773566731         0.029245280893341885      -0.5385303774462872       -0.14483096357442105       
Zeropoint     AB|PS|PS_g                3235.8765977375974    All      -0.6698863747646848        0.057071119766227696      -0.38661734248952134      0.21954101583382674        
Check         All|All|All               All                   All      0.9847675577268242         0.9986143339965281        -0.0014069297534456404    0.004447565763349148       
Lambda        AB|PS|PS_r                4109.343608677286     All      -0.0002245788403105634     0.00029642890227210106    0.0003375285786797229     0.0001847717126585624      
Lambda        AB|PS|PS_i                4977.305098190744     All      -0.00021206599811826723    -7.355062993987324e-05    -0.001328138677453751     -1.4149716818491837e-05    
Lambda        AB|PS|PS_z                5720.138054236476     All      -4.442588431965552e-05     5.57290228954575e-06      0.000357358049353883      3.223349816634634e-05      
Lambda        AB|PS|PS_g                3235.8765977375974    All      -0.0016987965263091434     0.00013676338718832863    -0.0011450737855906918    0.0005468028680363346      
MWEBV         All|All|All               All                   All      -0.5085305293820503        -2.313428695301134        -0.1870125849272986       -0.5962602247733302        
Redshift      All|All|All               All                   All      7.991246625610405          0.8017944670442034        7.250002844075926         -2.0183067651230617        
