#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4066.020601665046    All      -1.1736631229205026        0.5031685032273359         -0.2134479681016467        0.5366740242729359        
Zeropoint     AB|MEGACAMPSF|g           3176.098984080827    All      -0.3618085840999576        0.04891030369780225        0.018248124400058213       0.13459898398715564       
Zeropoint     AB|MEGACAMPSF|i           4981.917433806017    All      1.9273015585895041         0.4088561584204342         0.13653728348282362        -0.4885145903361313       
Zeropoint     AB|MEGACAMPSF|z           5733.968727944361    All      0.5886476618650507         0.039447089137745195       0.06729830462916964        -0.17588948045378153      
Check         All|All|All               All                  All      0.9804775134340945         1.0003820544833175         0.008635744410404766       0.006868937470178665      
Lambda        AB|MEGACAMPSF|r           4066.020601665046    All      -0.0007122412234056818     0.0003172995231251789      -1.8121412171710345e-05    0.0003345466166330086     
Lambda        AB|MEGACAMPSF|g           3176.098984080827    All      -0.0010946963103026348     0.00012327852606249375     -0.0002030420849744171     0.00038767363867219326    
Lambda        AB|MEGACAMPSF|i           4981.917433806017    All      -0.0001286378174022251     -0.00011680173031721265    -0.0017390378986382054     -7.374987134476277e-05    
Lambda        AB|MEGACAMPSF|z           5733.968727944361    All      -1.7143519578572876e-05    -8.814454183798023e-08     1.466678346169919e-05      6.210007938432471e-06     
MWEBV         All|All|All               All                  All      -0.31570037478566015       -2.245450158765294         0.05771282650263357        -0.626007533142923        
Redshift      All|All|All               All                  All      5.29108958406683           0.8178329880113466         4.0312761591619495         -1.277189499104331        
