#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4066.020601665046    All      -1.4675857261797625       0.5488866955385419        -0.19219326066086673       0.6482547052142559        
Zeropoint     AB|MEGACAMPSF|g           3176.098984080827    All      -0.22957463853437438      0.0394389574534415        0.019992810244817694       0.08851876579522994       
Zeropoint     AB|MEGACAMPSF|i           4981.917433806017    All      1.9522770267539156        0.3867885529253101        0.08310670731965786        -0.5062224283145969       
Zeropoint     AB|MEGACAMPSF|z           5733.968727944361    All      0.735584835047611         0.025677711479232812      0.1050181584687282         -0.22655362731536233      
Check         All|All|All               All                  All      0.9907014970873899        1.0007919173965263        0.01592441537233702        0.003997415379526581      
Lambda        AB|MEGACAMPSF|r           4066.020601665046    All      -0.0010331995625384473    0.00036839984584843355    -0.00017938251541260096    0.00044854202077373117    
Lambda        AB|MEGACAMPSF|g           3176.098984080827    All      -0.0009514532078666864    0.00011979321255741642    -0.00030968690925211245    0.0003351202976731477     
Lambda        AB|MEGACAMPSF|i           4981.917433806017    All      3.685036786387646e-05     -0.0001180240059757517    -0.002207245710260846      -0.0001489469173111935    
Lambda        AB|MEGACAMPSF|z           5733.968727944361    All      1.0269230525661048e-05    2.059196150268353e-06     3.725382408381788e-05      -1.011811229937995e-06    
MWEBV         All|All|All               All                  All      -0.2369964718672497       -2.2575231660074024       0.0108553885371232         -0.6576675915018134       
Redshift      All|All|All               All                  All      4.82848557308141          0.6008236976567716        5.9294096893479304         -1.1124862371283295       
