#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3026.8799672442537    All      -0.30802484671064506       0.029651083935711142      0.1419942532774554        0.11632871118741617       
Zeropoint     AB|MEGACAMPSF|z           5434.9804224671625    All      0.6633099620121597         0.06774683956489724       -0.05113496529232098      -0.19627642107241383      
Zeropoint     AB|MEGACAMPSF|i           4718.688567527013     All      2.061150803499351          0.6052912408632594        0.3522608849544584        -0.45850157048773         
Zeropoint     AB|MEGACAMPSF|r           3858.962473577206     All      -1.4109211918155542        0.2955174399964733        -0.4721280438181874       0.5347742963547022        
Check         All|All|All               All                   All      1.0055147269853117         0.998206604360341         -0.029007870878594577     -0.0036749840180254623    
Lambda        AB|MEGACAMPSF|g           3026.8799672442537    All      -0.0007075309078974501     6.046363247834289e-05     0.00023638754304817033    0.0002607099784278151     
Lambda        AB|MEGACAMPSF|z           5434.9804224671625    All      4.018549988772435e-06      -5.562304085691583e-06    -4.174764082789201e-05    -4.983804842959356e-06    
Lambda        AB|MEGACAMPSF|i           4718.688567527013     All      -0.00022698400943898042    -8.309326571611706e-05    -0.0009920562387217568    2.599035510743543e-06     
Lambda        AB|MEGACAMPSF|r           3858.962473577206     All      -0.0013475673495949303     0.0002599734691536508     -0.0010863057515445257    0.00047515209471888633    
MWEBV         All|All|All               All                   All      -0.29495107210629246       -2.0843713900079663       0.018418318371182796      -0.5820511427637856       
Redshift      All|All|All               All                   All      2.2326488092907195         -0.1674051670867982       -0.6876360633051304       -0.8124625788437527       
