#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3026.8799672442537    All      -0.32156741797721666       0.02313948334027316       0.08516928420178753       0.11608309226486474        
Zeropoint     AB|MEGACAMPSF|z           5434.9804224671625    All      0.5081969951309753         0.061142705185623925      -0.030031476859987753     -0.14696045676715624       
Zeropoint     AB|MEGACAMPSF|i           4718.688567527013     All      2.111369346989793          0.6055490138928477        0.46004002335817223       -0.4699657491520768        
Zeropoint     AB|MEGACAMPSF|r           3858.962473577206     All      -1.3173829570902966        0.3097294944481632        -0.5068527148326295       0.5073855471030585         
Check         All|All|All               All                   All      0.9806159670532549         0.999560696866908         0.008325115867342525      0.00654243344869021        
Lambda        AB|MEGACAMPSF|g           3026.8799672442537    All      -0.0009827683940137359     6.931616985607334e-05     0.0002156014202161975     0.0003523198561691949      
Lambda        AB|MEGACAMPSF|z           5434.9804224671625    All      -1.3225016103169226e-06    -3.514386250573186e-06    -4.602576428347568e-05    -2.7678874094763626e-06    
Lambda        AB|MEGACAMPSF|i           4718.688567527013     All      -9.216216944262752e-05     -6.111258428433865e-05    -0.000911028168349124     -3.054113156532284e-05     
Lambda        AB|MEGACAMPSF|r           3858.962473577206     All      -0.0016400985429184058     0.0003271534526166985     -0.0013562868578776183    0.0005802738423471891      
MWEBV         All|All|All               All                   All      -0.37132607452496247       -2.079042822499133        0.09983207637573738       -0.5518044799709104        
Redshift      All|All|All               All                   All      3.039887701273568          -0.29010269438707326      0.4707436490083991        -1.0636802982887592        
