#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6719.936388256252    All      0.20369718542410764        0.03645088804269392        0.26758487477104087        -0.0425365373087235        
Zeropoint     AB|SDSS|SDSS_i            5652.151004161933    All      1.3180942823513397         0.21604572167088776        -0.1589174413740202        -0.3660652280614634        
Zeropoint     AB|SDSS|SDSS_r            4660.89596908287     All      0.4643620644366088         0.4110043465788138         -0.011096682637237495      -0.017875558103940252      
Zeropoint     AB|SDSS|SDSS_g            3566.918344001266    All      -0.9902986107968047        0.3355259793609733         -0.09448459824342802       0.42764827368026986        
Check         All|All|All               All                  All      0.9958549214152512         0.9990269356533688         0.0030861525163551617      0.001170950206142718       
Lambda        AB|SDSS|SDSS_z            6719.936388256252    All      -0.00010669806147783754    -2.3256110547005688e-05    -0.000190433374350204      1.8681621708421465e-05     
Lambda        AB|SDSS|SDSS_i            5652.151004161933    All      -0.0003943768008847664     -6.366489042927328e-05     -0.00011195808597118315    0.00010272757416203292     
Lambda        AB|SDSS|SDSS_r            4660.89596908287     All      -0.0002469418030186777     -0.0002040852890420502     -0.0016298488474853453     -5.8772891898653056e-05    
Lambda        AB|SDSS|SDSS_g            3566.918344001266    All      -0.002227692629910753      0.000553790011327017       -0.0013241958162513293     0.000846927626844084       
MWEBV         All|All|All               All                  All      -0.5379604533439699        -2.7672336077708692        0.08800966219572254        -0.7222201402951418        
Redshift      All|All|All               All                  All      9.624925828703756          0.6603446316308492         3.668449216745886          -2.756352981882319         
