#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4258.713364581122     All      1.7802610167977702        0.762657254402832         -0.3693190762552062       -0.3479480377335184       
Zeropoint     AB|MEGACAMPSF|z           4907.155750371938     All      0.8780900434145331        0.21074783798198382       0.4529241558147684        -0.1971633863472072       
Zeropoint     AB|MEGACAMPSF|r           3479.5175267942113    All      -1.6568081581663512       0.02621017404873527       -0.08521584601792753      0.5444116486353845        
Check         All|All|All               All                   All      1.001542902045952         0.9996152664335511        -0.0016107664583653314    -0.0006997754453410554    
Lambda        AB|MEGACAMPSF|i           4258.713364581122     All      -0.0004392053997026395    -9.758162313274317e-05    -0.002221123167295615     1.2159577410552783e-05    
Lambda        AB|MEGACAMPSF|z           4907.155750371938     All      3.107598403504431e-05     -2.570580649779903e-06    9.005862894073146e-06     -1.05579027584157e-05     
Lambda        AB|MEGACAMPSF|r           3479.5175267942113    All      -0.002408236674515202     -5.365392714441546e-05    -0.0023523010563657955    0.0006619926718725319     
MWEBV         All|All|All               All                   All      -0.36138152635392085      -1.7842642004064047       0.018873136460420548      -0.4626374769893832       
Redshift      All|All|All               All                   All      4.439225294408494         0.5435909142244455        -0.442313879339129        -1.2886747171509803       
