#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7343.210601326883     All      0.13224269438640532       0.00981780597975046        0.186571406153202         -0.03155198884809973      
Zeropoint     AB|SDSS|SDSS_r            5093.194148632753     All      0.6239142666525425        0.2759153420560878         -1.1201894137353507       -0.16334360725674194      
Zeropoint     AB|SDSS|SDSS_g            3897.7500804191573    All      -1.0171403738558693       0.6102659316962189         0.2345906139593401        0.540568475460755         
Zeropoint     AB|SDSS|SDSS_i            6176.388104892814     All      1.25994676679164          0.10282080015286965        0.7080763055729689        -0.34531580220692953      
Check         All|All|All               All                   All      0.9989633539747182        0.9988198798849268         0.009048911950160221      0.0003570771489838642     
Lambda        AB|SDSS|SDSS_z            7343.210601326883     All      6.354344981903169e-06     6.577202190285375e-06      0.00021031670119478558    9.458060349207765e-06     
Lambda        AB|SDSS|SDSS_r            5093.194148632753     All      -7.195848530955423e-05    -1.8095761199757254e-05    -0.0009952090702439055    -2.686674870150427e-05    
Lambda        AB|SDSS|SDSS_g            3897.7500804191573    All      -0.0010435405304505085    0.0004885276188651951      -0.001297067272008288     0.00044116284464187883    
Lambda        AB|SDSS|SDSS_i            6176.388104892814     All      -0.0002738072655576709    -2.368848650827316e-05     0.00025474461360166573    9.283999710515504e-05     
MWEBV         All|All|All               All                   All      -0.5710642142151472       -3.176766963320965         0.12270410359165318       -0.8432873898741894       
Redshift      All|All|All               All                   All      5.030694020286639         0.26617145486191873        -7.269265008823234        -1.8763556585125418       
