#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4770.946649800768    All      1.0111738790291551         0.2748140658255238         0.665779324485225          -0.2101459432407673        
Zeropoint     AB|MEGACAMPSF|r           3382.122845743658    All      -1.591267935538089         -0.04122151517886863       0.11418739718636729        0.5099967732162061         
Zeropoint     AB|MEGACAMPSF|i           4135.974341053716    All      1.5793349864354325         0.7654877794625037         -0.7789614626223476        -0.29985828252514346       
Check         All|All|All               All                  All      0.9992409299264988         0.9990803301091589         0.0010052590492447555      -7.4525497046895595e-06    
Lambda        AB|MEGACAMPSF|z           4770.946649800768    All      -0.00029037471615961667    -8.110998780175424e-05     -0.00035909882773985124    5.213947523045693e-05      
Lambda        AB|MEGACAMPSF|r           3382.122845743658    All      -0.002426633796898369      -0.00010275317170420452    -0.001076698048828556      0.0007089162842034699      
Lambda        AB|MEGACAMPSF|i           4135.974341053716    All      0.0002997667799120533      0.00019032259547835644     -0.0010594161395430526     -8.292644806224597e-05     
MWEBV         All|All|All               All                  All      -0.44868961318382095       -1.7117621885631706        0.09876713479118457        -0.4070167680498233        
Redshift      All|All|All               All                  All      0.6730935067525428         -0.5749849717464173        2.0543817968021076         -0.31486259685246626       
