#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3561.256877613773    All      -1.874923935952404        0.11397843263143415        0.2288577955192439         0.6580638067003174        
Zeropoint     AB|MEGACAMPSF|i           4357.488542040235    All      1.7361430098753017        0.6516455593123638         -0.7341533585326299        -0.3860183911015988       
Zeropoint     AB|MEGACAMPSF|z           5022.114363957932    All      1.1379669955484035        0.2335921334191582         0.5055592636459938         -0.27202385765789716      
Check         All|All|All               All                  All      0.9991860694713016        0.9992161253629561         0.00026370063260783283     2.1557940821426147e-05    
Lambda        AB|MEGACAMPSF|r           3561.256877613773    All      -0.003325032124688932     -2.1168592698702896e-05    -0.0021051915332925904     0.0009822320169150308     
Lambda        AB|MEGACAMPSF|i           4357.488542040235    All      -0.0003967674577014795    -0.00017932518977466203    -0.002278509042974771      -3.085129347254926e-05    
Lambda        AB|MEGACAMPSF|z           5022.114363957932    All      0.0001567910610073569     1.8992957834187715e-05     -0.00024027724327750172    -5.560784544045177e-05    
MWEBV         All|All|All               All                  All      -0.2711140741780229       -1.8420182551444952        0.03907888608400967        -0.5099512617501508       
Redshift      All|All|All               All                  All      11.42273304667741         1.6086755203604142         4.359363875250055          -3.0022230213054524       
