#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5910.594448163175    All      1.1699117877943364         -0.03540181866761305       -3.694838542281975       -0.5574939696268991       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4179.849189150498    All      -1.2384836714485914        0.645998579609186          -0.40337830856447265     0.5958369455323924        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5106.022120333279    All      1.014563216049018          0.37140470878245235        4.175414956262369        -0.02316829259238467      
Check         All|All|All                              All                  All      0.945991332394763          0.9820014697240254         0.07719810541592054      0.015174683313108624      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5910.594448163175    All      0.001107967784675606       -0.00015612604510116516    0.01161268637896233      0.00010646391014367047    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4179.849189150498    All      -0.00018473861132232487    6.5108805707695e-05        0.0003593898080562884    9.742143997841414e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5106.022120333279    All      -0.00022939235358512302    0.00010075299692374558     -0.001306805897915755    4.922245683857008e-05     
MWEBV         All|All|All                              All                  All      -1.2045130561971962        -3.8105447315926355        -2.5538008695535908      -0.9628346561968343       
Redshift      All|All|All                              All                  All      -2.8648077165249184        0.9909191266221029         -66.87088930259355       -1.7282035802307152       
