#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5910.594448163175    All      1.9698514036128045         -0.1814490520244405      -0.018213793274518178     -0.7015621320247082        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4179.849189150498    All      -1.3348924687384516        0.6550112059489521       -0.3047059987921851       0.6345794634699916         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5106.022120333279    All      0.3595871777687083         0.5262221070336359       0.3233087056681981        0.06870626121872012        
Check         All|All|All                              All                  All      0.9945461126430614         0.9997842609581475       0.00038891360149484466    0.0017235926640035426      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5910.594448163175    All      -0.00027013912109379875    5.479403565058954e-05    -0.0004556834361254245    8.550636025902447e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4179.849189150498    All      -0.0008402843360292643     0.0002717842828946642    -0.001764438854575188     0.0002834985328492273      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5106.022120333279    All      5.572517382745548e-05      7.645514830248883e-05    -0.0005695970676192315    -1.8666066380717062e-05    
MWEBV         All|All|All                              All                  All      -0.8681049557653759        -3.8347467308126326      0.03145017678738443       -0.9649293488037086        
Redshift      All|All|All                              All                  All      5.716561030554496          0.2943719991511884       6.098815947477429         -1.4940232073612054        
