#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4037.7489222284476    All      -1.149911488964717        0.4203923145901456        -0.38861980044375743       0.4941572934508365        
Zeropoint     AB|MEGACAMPSF|g           3169.247916877532     All      -0.36441611875738417      0.05527236675497704       0.04312151632852008        0.13863066229621124       
Zeropoint     AB|MEGACAMPSF|z           5687.310305493441     All      0.6820063439327457        0.03373311332133255       -0.06515192882400618       -0.21407135011736222      
Zeropoint     AB|MEGACAMPSF|i           4928.889983596319     All      1.8161112112995303        0.49073237685224314       0.41485542983370516        -0.4132063975765699       
Check         All|All|All               All                   All      0.9837899475101748        1.0001301715186983        0.0042052168944616275      0.005510208053115584      
Lambda        AB|MEGACAMPSF|r           4037.7489222284476    All      -0.0007076317939929302    0.00024104751140821434    -0.0003958637051706919     0.0002913504813657198     
Lambda        AB|MEGACAMPSF|g           3169.247916877532     All      -0.001036568323644482     0.00014671055305846064    -4.006796520754371e-06     0.00038525405393472287    
Lambda        AB|MEGACAMPSF|z           5687.310305493441     All      -6.562802715475101e-05    -3.767222962894174e-06    -1.7781766242294784e-05    1.935658052660015e-05     
Lambda        AB|MEGACAMPSF|i           4928.889983596319     All      -0.0002432404099722273    -0.000167654821727251     -0.0016953952342225877     -5.103698985130889e-05    
MWEBV         All|All|All               All                   All      -0.3380924023142158       -2.232355473523562        0.06524110699897856        -0.6141123907330573       
Redshift      All|All|All               All                   All      3.7879152187776173        0.7157471889772893        3.2049868619555055         -0.857682354955187        
