#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5821.969188092436    All      1.263289200270593          0.16882354812182143        0.2763378367051317         -0.34417178127692793       
Zeropoint     AB|SDSS|SDSS_r            4800.932017018573    All      0.597382584588971          0.41308132923703056        -0.42424757558532367       -0.07896520299906507       
Zeropoint     AB|SDSS|SDSS_g            3674.085968319984    All      -1.029649729835592         0.3917929260252251         -0.18702567009994953       0.45466454040948673        
Zeropoint     AB|SDSS|SDSS_z            6921.836053134612    All      0.16624390156415006        0.024689170070679722       0.3357067710001327         -0.031127981715456735      
Check         All|All|All               All                  All      0.997265956588122          0.9983869734547568         0.000771362019991173       0.00039957441803699367     
Lambda        AB|SDSS|SDSS_i            5821.969188092436    All      -0.00022314343953937682    -2.0981446271728625e-05    0.00017464481144973892     7.36444079596946e-05       
Lambda        AB|SDSS|SDSS_r            4800.932017018573    All      -0.0001507885203558999     -3.017719914530069e-05     -0.0012011083672629585     -1.4312874626848901e-05    
Lambda        AB|SDSS|SDSS_g            3674.085968319984    All      -0.001645518945522054      0.00063999176149277        -0.0002986798068726892     0.000731137320349598       
Lambda        AB|SDSS|SDSS_z            6921.836053134612    All      -0.00011270457961035877    -1.9132766470616853e-05    -0.00026856676665801754    1.84945166474246e-05       
MWEBV         All|All|All               All                  All      -0.5593190998131594        -2.9000776197140254        0.05900444101512581        -0.7598289613947212        
Redshift      All|All|All               All                  All      4.903601309773067          -0.8689014459628552        -0.5751489511328645        -1.9059603133684444        
