#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5821.969188092436    All      1.139444063063089          0.1498995282355864         -0.22625756928358234      -0.33242404619522914      
Zeropoint     AB|SDSS|SDSS_r            4800.932017018573    All      0.7172455886459126         0.39928634371513283        -0.23031596163146584      -0.11384773018706536      
Zeropoint     AB|SDSS|SDSS_g            3674.085968319984    All      -1.044421202728277         0.4187742494369928         0.08044325669731738       0.48020070955465877       
Zeropoint     AB|SDSS|SDSS_z            6921.836053134612    All      0.1850600033598705         0.03103288759440659        0.38130604700415716       -0.03315576134393954      
Check         All|All|All               All                  All      0.9973284523405951         0.9989930089821186         0.005175772786426391      0.0007731718284247416     
Lambda        AB|SDSS|SDSS_i            5821.969188092436    All      -0.00023723378622217644    -2.684414912688501e-05     0.0001803590374328868     7.657942189693712e-05     
Lambda        AB|SDSS|SDSS_r            4800.932017018573    All      -0.00012928773864591517    -3.7600264124493706e-05    -0.001129565074207035     -2.054167447717991e-05    
Lambda        AB|SDSS|SDSS_g            3674.085968319984    All      -0.0017408326774434957     0.0006307850038089544      -0.0005272134876197663    0.0007489867861395903     
Lambda        AB|SDSS|SDSS_z            6921.836053134612    All      -9.482383141353446e-05     -1.6558574027683537e-05    -0.0002124298910411816    1.6013798799090896e-05    
MWEBV         All|All|All               All                  All      -0.5622033079366151        -2.897594259339087         0.0755154007248221        -0.757343759447287        
Redshift      All|All|All               All                  All      4.780245921096041          -0.8693903231890232        -1.1145666033877282       -1.8900103807652064       
