#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3841.782239075139    All      -0.6850296530239672        0.3610222263842999        0.19598563927722135        0.3494794501593637        
Zeropoint     AB|MEGACAMPSF|i           5993.924131315795    All      1.2277807253892663         -0.013713812863791475     -0.7699477619517642        -0.43875484743988585      
Zeropoint     AB|MEGACAMPSF|r           4902.874782956819    All      -0.12755289541497272       0.7544664600802165        0.19922308552880463        0.29619313296828514       
Zeropoint     AB|MEGACAMPSF|z           6909.32392088506     All      0.5800014514666655         -0.10463877269248911      0.36342879505703585        -0.20679168704766798      
Check         All|All|All               All                  All      0.9951996284169918         0.9971361009082358        -0.01131024208870235       0.00012604864009502226    
Lambda        AB|MEGACAMPSF|g           3841.782239075139    All      -0.0009954918740949703     0.00043991057653294737    -0.00023192237614707328    0.000457208171040967      
Lambda        AB|MEGACAMPSF|i           5993.924131315795    All      -0.00015908156954341904    -6.969522817974047e-06    -0.00037474070943209015    3.28249412160419e-05      
Lambda        AB|MEGACAMPSF|r           4902.874782956819    All      -0.00026622069954167026    -6.38077838953037e-05     -0.0016709273271757004     -8.633266507069834e-06    
Lambda        AB|MEGACAMPSF|z           6909.32392088506     All      -0.0003241668056623062     4.5754816239178396e-05    -0.0004835769362889021     9.891582463514822e-05     
MWEBV         All|All|All               All                  All      -0.47690627202603775       -2.971608565941608        0.02830722558419263        -0.8113433889285134       
Redshift      All|All|All               All                  All      6.278471023112422          -0.9791005540646935       9.263605707201439          -1.9506376531890939       
