#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3841.782239075139    All      -0.6666230036845076        0.33642316441415687        0.03386588960840056        0.3282364153013079         
Zeropoint     AB|MEGACAMPSF|i           5993.924131315795    All      1.2238861737671114         0.007405098497237361       -0.49241979548270326       -0.41822234112410567       
Zeropoint     AB|MEGACAMPSF|r           4902.874782956819    All      -0.16870635753629826       0.7492742654795492         -0.04808261556119799       0.29687078328467864        
Zeropoint     AB|MEGACAMPSF|z           6909.32392088506     All      0.60433819538882           -0.09368165647885007       0.5060086457519831         -0.2047871880780614        
Check         All|All|All               All                  All      0.9928950079351256         0.9994208719120934         -0.0006278756835175203     0.0020976693838195004      
Lambda        AB|MEGACAMPSF|g           3841.782239075139    All      -0.0008648672918761632     0.0003840292766136486      -0.00023851825529300417    0.00039616272557481115     
Lambda        AB|MEGACAMPSF|i           5993.924131315795    All      -0.00023285852618656867    1.5519622582758083e-06     -0.0003034694578121558     6.281275984513979e-05      
Lambda        AB|MEGACAMPSF|r           4902.874782956819    All      -0.000266799965635766      -0.00010719860406563665    -0.0014735873507488338     -1.3772021329791824e-05    
Lambda        AB|MEGACAMPSF|z           6909.32392088506     All      -0.0003460049046710621     5.012520208581111e-05      -0.0004842623751905268     0.00010742220239601663     
MWEBV         All|All|All               All                  All      -0.48108149565377767       -2.969509003714954         0.022845619478319167       -0.8095432111376699        
Redshift      All|All|All               All                  All      6.5398095833479895         -0.7262935806888748        8.431733180914172          -1.9905393219060659        
