#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7478.352012943994     All      0.23283175067524522        -0.032983289705512675     0.05690509175519942        -0.08404529081768586       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6116.49524820782      All      0.7281230726196863         -0.044140615097365554     0.0079281420814592         -0.25119789324165864       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5345.479657633724     All      0.2433290271645134         0.07490180370819388       -0.13249680644418227       -0.06077501170657085       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3534.8686242488147    All      -0.20877502252663158       0.09379754413352259       -0.012869904728662895      0.09798351456427601        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7504.469671465973     All      0.14968385295889847        -0.014354549387718407     0.10622313172338194        -0.048692453843815486      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6159.672440454961     All      0.4056509360713297         -0.021022207600296383     0.07537278046223506        -0.13561793900596086       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4725.15760172541      All      -0.31449132222890697       0.3862997780567312        -0.004103524438203721      0.22808759525654865        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4322.394509674984     All      -0.19464555100715483       0.10930403956148638       -0.10789751065192199       0.09419141094766381        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4325.457943000884     All      -0.40845163483503044       0.269099063603484         -0.07366140701332569       0.21741338295690193        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5283.894929716945     All      0.36190794637867735        0.17636894806880576       0.08623761678969721        -0.056587767038984715      
Check         All|All|All                                All                   All      0.9951630552706265         0.9972705153413308        0.0016376095356762654      0.000759548070713989       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7478.352012943994     All      -5.223252963826395e-05     -8.179000599230571e-06    -0.00015190652436303272    7.5707932251784655e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6116.49524820782      All      -8.735425784511042e-05     -3.20267092397652e-05     -0.0004011635046284863     1.1991806880866152e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5345.479657633724     All      7.23702432213917e-05       1.7078626067261508e-05    -0.000277420423366557      -3.039029809620473e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3534.8686242488147    All      -0.0005106827365998938     0.00017062461711202622    -0.0003100365656610632     0.0002080887114711252      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7504.469671465973     All      -4.045584163665408e-05     2.3271073358858145e-06    -4.580169950287837e-05     1.1891894508353602e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6159.672440454961     All      -6.244052804743483e-05     -3.570079870991951e-06    -7.359443628720473e-05     1.589186006680646e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4725.15760172541      All      -0.00017393030484686337    -3.536685435933169e-05    -0.001029966372054285      -8.279942944317181e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4322.394509674984     All      -0.00011896977914696651    5.203362632216336e-05     -0.00013089500126560894    4.9860192278743146e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4325.457943000884     All      -0.00024591377672536903    8.563587240713974e-05     -0.0003902886751025489     9.057983734314643e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5283.894929716945     All      0.00011941245647706483     1.903924069169836e-05     -0.0005226396566880562     -5.6017866042876284e-05    
MWEBV         All|All|All                                All                   All      -0.9942168726412168        -3.962840268805845        0.020877641621419585       -0.9660466316815941        
Redshift      All|All|All                                All                   All      5.947905186274438          -0.03226223568324471      6.475284481967214          -1.6589750644717183        
