#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4332.882361395809    All      -0.7981685842918493        0.6574193502847159         1.2348345828617546        0.5292378737552527        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5240.220557701567    All      -0.2483580970161282        0.6866609118883815         -1.449582360819801        0.23987824933947785       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6194.549589449406    All      1.540358311675846          -0.28227106144704806       -1.2496628078448535       -0.6494570611718694       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7675.187697225142    All      0.5023336308426614         -0.06394124668904766       1.4626074660569977        -0.11918490380517927      
Check         All|All|All                       All                  All      0.9961652612105297         0.9978679540370017         -0.001803119745902304     0.00047415811768186655    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4332.882361395809    All      -0.00037975029691842934    8.439701427650841e-05      -0.0014370454865597264    8.705930929519716e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5240.220557701567    All      -9.853692175954985e-05     7.456604391367771e-05      -0.0017998421074113763    -2.393335603978208e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6194.549589449406    All      -0.00045264443053527614    7.580775687881527e-05      -3.70049846286696e-05     0.00017048290049510216    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7675.187697225142    All      -0.00012412755807814454    -2.9091922399597166e-06    -0.0005489876641343414    1.498601167810425e-05     
MWEBV         All|All|All                       All                  All      -0.7718128021599759        -3.9734085303834377        0.36634058956401816       -1.0265169600824728       
Redshift      All|All|All                       All                  All      5.642717772376539          0.2132402913449738         9.537494904671151         -1.3429448466096476       
