#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4332.882361395809    All      -1.0423333755177224       0.7008283296937812        0.3353953160248665         0.5827722682432933        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5240.220557701567    All      0.14321451472598395       0.5764718509332134        -0.6597045057477386        0.11168658596735806       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6194.549589449406    All      1.4315058838363162        -0.20184461037899837      -0.49650067829726807       -0.5541925365283519       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7675.187697225142    All      0.4657618600098525        -0.07704246033517492      0.828790311857493          -0.13982411974610778      
Check         All|All|All                       All                  All      0.9981488830544302        0.9984131099128213        0.007980443837352746       0.000442197936191685      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4332.882361395809    All      -0.0006380390338275736    0.0001628497107151137     -0.0020786925365127765     0.00016811331173955603    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5240.220557701567    All      6.257338455637978e-05     4.6284850689461615e-05    -0.0016313671795652337     -7.810613598285185e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6194.549589449406    All      -0.0003269585279576716    3.5517600901528296e-05    -0.00019421205287278132    0.00010940360834385306    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7675.187697225142    All      -9.678868130114137e-05    1.3087131498713325e-05    -0.0001905405483505907     2.7287217483981682e-05    
MWEBV         All|All|All                       All                  All      -0.7941453794496995       -3.9764446282728017       0.18441514591770175        -1.0283499589030545       
Redshift      All|All|All                       All                  All      5.878835725007414         0.19026481496071668       13.038641852707515         -1.2710999922559503       
