#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8078.157464655266    All      0.07122233943417969       -0.0037430841655528013     0.1609789327069224         -0.017234954338398736      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7748.672655555905    All      0.3974846783701488        -0.08491744775600552       1.1388711826949784         -0.10631165280030694       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4374.366907746954    All      -0.5470030243884216       0.7088130925367864         4.00620015023921           0.5878389372990163         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6253.858395489825    All      1.1557937515747299        -0.17895279632007544       0.7391038071208562         -0.40178805417565083       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4249.723553869458    All      -0.438004050694521        0.0475999542942418         -2.5536063072357846        0.04422147911969388        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6251.557123942857    All      0.22911880060184672       -0.0041047876300659425     -0.9433920183893589        -0.11806784845317748       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5290.392280468155    All      0.22927785919670668       0.49987401288564826        -1.1306738355040549        0.03768528932406712        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5245.480203728221    All      -0.10050571982911291      0.012046038947488569       -1.4228952297357225        -0.026835468305274435      
Check         All|All|All                       All                  All      0.9973846342655565        0.9966149827924653         -0.005413318102953424      -0.0004922723300311883     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8078.157464655266    All      4.936485030145805e-06     -2.7601603747589723e-07    1.0532508687173307e-05     -1.2278655952700192e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7748.672655555905    All      -6.02992228889443e-05     1.0075573547150172e-05     -0.00017382000481771818    1.5166597972660286e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4374.366907746954    All      -8.917076637483394e-05    9.886042338276373e-05      0.0006512253420750011      9.030914059344393e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6253.858395489825    All      -0.0003428219504859292    6.645517331461346e-05      -0.0005863338542302571     0.00010714963705895682     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4249.723553869458    All      -0.000435970110412125     4.7292637593826295e-05     -0.0025434456319842944     4.391227896550586e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6251.557123942857    All      -3.302844391147228e-05    6.403162024091948e-07      0.00013097435612916962     1.681180680898297e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5290.392280468155    All      -3.449278866602892e-05    9.14498330562833e-05       -0.0017291661332278746     -3.614108746902496e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5245.480203728221    All      -6.740300520317842e-05    8.358698191095396e-06      -0.0009769162369485994     -1.891720555950628e-05     
MWEBV         All|All|All                       All                  All      -0.814541300746694        -4.026766635051526         0.25747455444924267        -1.0348375636303864        
Redshift      All|All|All                       All                  All      5.698512110971407         -0.5169066113007048        13.234316354964434         -1.4339796031407117        
