#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8078.157464655266    All      0.22255820999277287        0.05955460474549312        1.2153595583314858         0.0011402782554181812      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7748.672655555905    All      1.345970829388005          -0.6305208624102221        2.480117365710921          -0.5331321213992934        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4374.366907746954    All      -0.25591768520346736       0.5366995302360067         1.9342682215093054         0.344499010353827          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6253.858395489825    All      0.5730714177916938         -0.3330438011355241        -4.449268050485222         -0.4937019354539718        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4249.723553869458    All      -0.05507611983453048       -0.01207245320209438       -0.42280123587836727       -0.0048599683006189665     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6251.557123942857    All      0.04049239216910673        -0.001137915786131316      -0.46701824067134634       -0.0344012400414373        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5290.392280468155    All      -0.8539300460713257        1.4058141677303126         0.08248044115957143        0.739753757081596          
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5245.480203728221    All      -0.028034024131120105      -0.004632792738235025      -0.23717735640937931       -0.0029615851580455654     
Check         All|All|All                       All                  All      0.9891349741011348         1.0206604774396055         0.13596070326696896        0.016336195337474102       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8078.157464655266    All      6.20268529178182e-05       -1.088923331252136e-05     5.4598971654208964e-05     -2.1314666812284347e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7748.672655555905    All      3.356947771700414e-05      9.367182377222378e-05      0.0007613789161344496      5.3554155558840144e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4374.366907746954    All      -0.00032745392600338715    0.0007035379628302653      0.0025815638617584357      0.00045103131527510047     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6253.858395489825    All      0.00033354420769109595     -0.00013173675985579206    -0.00020808734211434312    -0.00016084330078715083    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4249.723553869458    All      1.2729426278410248e-05     7.618454419011839e-06      0.00011449569968898956     3.4446055368055904e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6251.557123942857    All      0.00010805597030210907     2.5830307182172208e-05     0.00039981847362622084     -8.941541444021044e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5290.392280468155    All      -0.0011225877933889767     0.001553426661945742       5.097619798777644e-05      0.0008739407799540862      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5245.480203728221    All      -4.985794714983497e-05     -1.051677591031935e-05     -0.00043540256709859686    -6.6153030791505405e-06    
MWEBV         All|All|All                       All                  All      -0.5433997507598582        -4.0491130629281           1.3365790401016153         -1.0822807764411468        
Redshift      All|All|All                       All                  All      1.772042618387788          -7.501422612037523         -18.306453041734393        -3.8376056342485088        
