#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4173.432084220263    All      -0.3648016152828226        0.5724920686789758         1.450318961746095         0.3700284631013074        
Zeropoint     VEGAHST|ACSWF|F625W                    3980.232460231559    All      -0.9473017912581762        0.06429244533343592        -1.1349349228454728       0.27886259028071086       
Zeropoint     VEGAHST|ACSWF|F850LP                   5689.40897552537     All      2.1708633534255672         -0.015131732508777418      0.21937280999418046       -0.7022609156238249       
Zeropoint     VEGAHST|ACSWF|F775W                    4843.834579147432    All      -0.02495875166348377       0.11934599721641348        -1.0584339954512436       -0.0002282438100726832    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4997.689047350884    All      0.16021762142357518        0.2571254496306352         0.519083666005135         0.054730387768652626      
Check         All|All|All                            All                  All      0.9940188166446601         0.998124228350683          -0.0045934805513059285    0.0011322817167733201     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4173.432084220263    All      -0.00011043591383039854    0.00017046548549722596     0.0005255794676880049     0.00011495302488628053    
Lambda        VEGAHST|ACSWF|F625W                    3980.232460231559    All      -0.0012226741055736106     7.709311466361967e-05      -0.0015015988208181839    0.00035636748592349807    
Lambda        VEGAHST|ACSWF|F850LP                   5689.40897552537     All      -0.0003429753252988136     -0.00015386857563048727    -0.001291370045849096     3.970375696091248e-06     
Lambda        VEGAHST|ACSWF|F775W                    4843.834579147432    All      -7.289369313412514e-05     5.429956004659757e-06      -0.0015379438867516061    -4.311878284892025e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4997.689047350884    All      2.8730056584922035e-06     -8.524052180352284e-06     7.63413923030645e-05      -3.056309750243161e-07    
MWEBV         All|All|All                            All                  All      -0.12946138588235945       -2.169658066595126         0.0018940418651929656     -0.6644746569958421       
Redshift      All|All|All                            All                  All      2.292575193259081          1.588747765872256          10.459018994392453        0.23747823284851519       
