#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4173.432084220263    All      -0.47472098613155045       0.669624767721011         1.688024807872207         0.4480798542446429        
Zeropoint     VEGAHST|ACSWF|F625W                    3980.232460231559    All      -1.028368031415929         0.21003238547372405       -0.6415317409168675       0.374759142796105         
Zeropoint     VEGAHST|ACSWF|F850LP                   5689.40897552537     All      2.85138392839516           -0.42507836537879484      -1.1101883008628743       -1.1167941664469605       
Zeropoint     VEGAHST|ACSWF|F775W                    4843.834579147432    All      -0.39550258528648374       0.2558888335524756        -0.6953753418917519       0.18114820749178806       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4997.689047350884    All      0.047793844095413485       0.2835691212951019        0.7824821157833228        0.1117183475771999        
Check         All|All|All                            All                  All      1.0005861696566103         0.9940367426635177        0.023411539984036223      -0.0010886143372246249    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4173.432084220263    All      -0.00034590959156748373    0.000310532668245157      0.000626352462826908      0.0002417760740130056     
Lambda        VEGAHST|ACSWF|F625W                    3980.232460231559    All      -0.0015079486481287606     0.00031513796319083146    -0.0010031010466314265    0.0005490754944400934     
Lambda        VEGAHST|ACSWF|F850LP                   5689.40897552537     All      -5.84072991081978e-05      -0.0001057958746571328    -0.0011173543889964656    -6.529841265193836e-05    
Lambda        VEGAHST|ACSWF|F775W                    4843.834579147432    All      -2.5739839337109247e-05    3.969583796332322e-05     -0.0017695781419463001    -5.765359223003606e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4997.689047350884    All      8.961858775507152e-05      2.3228046819729116e-05    0.00011132473151321999    -1.665767189512419e-05    
MWEBV         All|All|All                            All                  All      -0.13753553422321874       -2.1668300471262114       0.01171165431452792       -0.6604853473165806       
Redshift      All|All|All                            All                  All      1.7523906555739195         0.47762076345563287       8.80295974886982          -0.02239882948635863      
