#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6167.678199187927     All      0.6028094312811546         -0.042708506860833495     0.053920048818222495       -0.20786022522928066      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3564.448473521004     All      -0.2176477709948122        0.0885237919142412        -0.06631882950882799       0.09677064601509575       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5370.939016775301     All      0.3017568266176336         0.12589155634685767       -0.4006721826737094        -0.07516526361468213      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4357.50551670375      All      -0.3669870173313114        0.20854232703797493       -0.3067917683461305        0.1737781342364386        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5328.7335607005225    All      0.37906666874899164        0.15093174438716161       0.20858863156692237        -0.0650026976668279       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7879.076111556425     All      0.15026596256516161        -0.025896321761109675     0.05951132014652871        -0.05472613467954295      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6372.143827119837     All      0.4798306460300796         -0.04222908792161917      -0.21821773646710038       -0.17979008594387347      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7540.9310077699365    All      0.18107941868961877        -0.028184817227661085     0.18419932275273249        -0.05994427644956206      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4764.6978122689       All      -0.199380723627545         0.34171153735895743       0.35357638001300307        0.19203004073234003       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4361.653459040564     All      -0.3156774632809125        0.22035260952328883       0.13236979715532535        0.18050968567246936       
Check         All|All|All                              All                   All      0.9951159786980588         0.9969348327972583        0.00016498345696616679     0.000599823072574529      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6167.678199187927     All      -0.00018346247538127868    3.831239409972035e-06     -0.0004108635549779778     4.2672771257090474e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3564.448473521004     All      -0.0003158524785232635     9.019791266491896e-05     -0.0002898423366283322     0.00011932963878504917    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5370.939016775301     All      1.1067146139192091e-05     2.107183136829145e-05     -0.0008172879856786353     -3.321295400940511e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4357.50551670375      All      -0.0002179112228383797     5.679022126740497e-05     -0.0006310734392525209     6.131738857595743e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5328.7335607005225    All      6.328400748299401e-05      2.6397057421783367e-05    -0.00019376280081643125    -2.066203705962923e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7879.076111556425     All      1.2011549006758397e-05     7.213060756142781e-07     8.67567504370052e-05       1.9395175202788048e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6372.143827119837     All      -0.0001538062143132459     5.8452921267565675e-06    -0.0002559164282565552     4.0583373214610564e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7540.9310077699365    All      -5.583350836399328e-05     7.246567073470655e-06     -0.0001118604281477711     1.555543869095091e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4764.6978122689       All      -7.054029906958804e-06     -6.840576790612289e-05    -0.0001534418012866586     -2.683168233727568e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4361.653459040564     All      -9.609384194707384e-05     3.0505928983572726e-05    -0.00010260128261408666    3.665908638844192e-05     
MWEBV         All|All|All                              All                   All      -1.005821847304603         -4.009913548039101        0.011257585087488548       -0.9780291242923493       
Redshift      All|All|All                              All                   All      4.838280715117904          0.19780237922919497       4.640551704433362          -1.3044699519157452       
