#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6167.678199187927     All      0.6549846996782951         -0.05026023344969488      0.12680999442464813        -0.22406252895498802       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3564.448473521004     All      -0.27711441226123446       0.1123023145041202        -0.10701698523118974       0.12207016279761618        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5370.939016775301     All      0.2569749421205872         0.11402382476273232       -0.5830988451850816        -0.07258490526000361       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4357.50551670375      All      -0.34402987338089575       0.19314204514309097       -0.37796102987415203       0.1581079014433967         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5328.7335607005225    All      0.39175379042989245        0.1464028367871073        0.15432826339789596        -0.07303191581670143       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7879.076111556425     All      0.1685498830753026         -0.031030372795548544     0.08268955823511615        -0.06131980012789584       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6372.143827119837     All      0.4540233245902311         -0.04800118265517739      -0.28297618466954777       -0.17615382558473502       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7540.9310077699365    All      0.18027273235532376        -0.029435421424572894     0.2104790586906491         -0.058916131185432485      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4764.6978122689       All      -0.17835016752468352       0.35592467979457254       0.5128681273711466         0.19691784389873068        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4361.653459040564     All      -0.3157415377232804        0.23499334245506986       0.26263268579251875        0.19111255965209295        
Check         All|All|All                              All                   All      0.9913233813595381         0.9980618331216995        -0.0012453570479964426     0.0021393608620801086      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6167.678199187927     All      -4.5689291686015e-05       2.7103661004190524e-06    -0.00015728239727005967    8.746569824246215e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3564.448473521004     All      -0.0004453812591335425     0.00013863656569946902    -0.00031993614131201997    0.00017595653859064        
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5370.939016775301     All      7.371711428832801e-05      2.7576584710107306e-05    -0.0008172336194734455     -5.1498871480808715e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4357.50551670375      All      -0.0002807099807662685     8.510383637148451e-05     -0.0008611104936691363     8.073018876387016e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5328.7335607005225    All      0.0001372390646462748      4.9439287870281864e-05    -0.00010581802205617988    -3.3321448142569896e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7879.076111556425     All      1.35755699019706e-05       4.903906024531515e-07     7.558397928031591e-05      -8.893075368450058e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6372.143827119837     All      -8.643120118265461e-05     3.5287474826176736e-06    -0.00012013797314014706    2.3941708907189627e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7540.9310077699365    All      -4.111379359211384e-05     5.778335865463967e-06     -8.65146934462488e-05      1.1413555848678086e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4764.6978122689       All      -2.206166019160895e-05     1.3202769750459956e-05    7.924487190746637e-05      1.5023119672114593e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4361.653459040564     All      -0.00016043276669322416    7.854092143494861e-05     -2.6557444543404376e-05    7.665645544811934e-05      
MWEBV         All|All|All                              All                   All      -1.0087012392458123        -4.012645842335605        -0.0012931618099676356     -0.9785412919406378        
Redshift      All|All|All                              All                   All      4.378305730651032          -0.7416606905392698       4.78975960871193           -1.4539965325070903        
