#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7485.270988024557    All      0.17466619627402524        -0.030315570209848985      0.02515370265754597        -0.06564681082077864       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4712.744080743402    All      -0.367291151661488         0.36089892097592724        0.020945664821736373       0.23813017222084468        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4377.026493280753    All      -0.46086353445877337       0.297504372822166          -0.06379788420461902       0.24417837040550705        
Zeropoint     AB|CNIa02|SDSS_g                      4723.750369964521    All      -0.026956192570292106      0.02530960151765349        -0.023317383650225655      0.015984140888555272       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5485.221873493797    All      0.45637665464981414        0.0986626312324379         0.1142629589370373         -0.11142019480228083       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4375.834812550841    All      -0.4712427176175539        0.2915812915142535         -0.11617786429640731       0.24329239144078163        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5474.399567361586    All      0.3921376874964776         0.0884507830779313         -0.0832901553865503        -0.10263767286856798       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7538.639433404767    All      0.1962781798054983         -0.03170666736833638       0.0574760172909362         -0.07169727452930828       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6212.431580939917    All      0.601284541798113          -0.04840430980674881       0.12822639606215233        -0.205902877962328         
Zeropoint     AB|CNIa02|SDSS_r                      6172.529599773068    All      0.502740055579495          -0.05540693763048665       -0.05863601224773002       -0.18442349410029987       
Check         All|All|All                           All                  All      0.9971297192953158         0.9965741161249486         0.0008454399838759008      -0.00014325012787497204    
Lambda        AB|CNIa02|SDSS_i                      7485.270988024557    All      -1.5091326642365864e-05    -1.621336209719456e-06     -3.7933066513739324e-05    2.6948404952000387e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4712.744080743402    All      -2.2769674362635624e-05    -0.00010103238953626216    -0.000634007803417457      -5.378559747290494e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4377.026493280753    All      -0.00017829530434283403    3.626231229926522e-05      -0.00037962007611483807    5.2947774011194276e-05     
Lambda        AB|CNIa02|SDSS_g                      4723.750369964521    All      -1.8450470312083e-05       1.784412478742731e-05      -1.6706139255255428e-05    1.1076825414182515e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5485.221873493797    All      4.890513996726965e-06      -2.37942194226624e-05      -0.00030305647160513733    -2.2867579814102014e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4375.834812550841    All      -0.00020479111411402358    2.928846564951706e-05      -0.0005517431388807545     5.1625657894748304e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5474.399567361586    All      3.691231740496818e-05      -2.9903262417254076e-05    -0.000487999217696724      -4.354119630184803e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7538.639433404767    All      -4.561426899003164e-05     3.088389103122674e-06      -5.5295173001052555e-05    1.3396488401306226e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6212.431580939917    All      -0.00016090959289372054    3.859430509160844e-06      -0.00016096486697199377    4.6487568934110175e-05     
Lambda        AB|CNIa02|SDSS_r                      6172.529599773068    All      -7.717813061245705e-06     -1.4069253006887593e-05    -0.00015335011909084974    -8.912184449865897e-06     
MWEBV         All|All|All                           All                  All      -0.9148295162073832        -4.098966696412187         0.02071380395084741        -1.036253872659133         
Redshift      All|All|All                           All                  All      4.699860094034353          0.6177836046241225         2.050743672564254          -1.238151337546882         
