#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7485.270988024557    All      0.11576828169192162        -0.020600330367059883      0.023820267665985995       -0.043356754198287106      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4712.744080743402    All      -0.3625915207302848        0.417621692132375          0.14343707145885176        0.2605420493982158         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4377.026493280753    All      -0.4827036882566639        0.3520467319590548         0.08174909175213685        0.27555376084226757        
Zeropoint     AB|CNIa02|SDSS_g                      4723.750369964521    All      -0.01220296196763827       0.005910568847022901       -0.01495309473407147       0.0052328849628968666      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5485.221873493797    All      0.5311181171165764         0.09694915133113824        0.12356743387798019        -0.13590886884174425       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4375.834812550841    All      -0.4323587259072746        0.25217831214501274        -0.2563390264341603        0.21153700046606105        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5474.399567361586    All      0.31501151356416246        0.041366424851307926       -0.32897006489340797       -0.10381563114112424       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7538.639433404767    All      0.20080889471997698        -0.03225408368137117       0.07996637173910415        -0.07234774771110453       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6212.431580939917    All      0.7418879287525182         -0.06908368175748691       0.18500905681628765        -0.2559040292267667        
Zeropoint     AB|CNIa02|SDSS_r                      6172.529599773068    All      0.32963668974490573        -0.04137894266538211       -0.05000343529126816       -0.12308342118735882       
Check         All|All|All                           All                  All      0.9443745287281997         1.0027558427946115         -0.012716328042561287      0.018449243363055645       
Lambda        AB|CNIa02|SDSS_i                      7485.270988024557    All      2.322623477177155e-06      -3.6374462845503896e-06    -1.410057197014233e-05     -2.5706345673084836e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4712.744080743402    All      -0.000136351085218533      6.941704694969248e-05      -0.00036527784301319967    5.072477774443554e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4377.026493280753    All      -0.000317951648645096      0.00013638404469248653     -0.00047782745618510635    0.00012666883773297164     
Lambda        AB|CNIa02|SDSS_g                      4723.750369964521    All      -1.1374161726511032e-05    5.0400962717650045e-06     -8.958908762223326e-06     4.946868891808287e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5485.221873493797    All      8.970908485600877e-05      8.960140892665945e-06      -0.00022779807096471734    -3.646816927866746e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4375.834812550841    All      -0.0002772836349512813     9.68927827732758e-05       -0.0005807108450167888     9.596711138672868e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5474.399567361586    All      0.00010896942297555017     -9.861472103837366e-06     -0.00038396898468929874    -5.584190422860634e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7538.639433404767    All      -2.431297473009171e-05     3.395290379225034e-07      -2.8171571767620285e-05    6.77296365988607e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6212.431580939917    All      1.1056251934934444e-05     4.220196933677926e-06      1.7216159219013614e-05     -1.4584498984533073e-06    
Lambda        AB|CNIa02|SDSS_r                      6172.529599773068    All      0.00010948367936167101     -1.6683485850272468e-05    -2.3407940028486734e-06    -4.120125537144422e-05     
MWEBV         All|All|All                           All                  All      -0.9054082410907802        -4.103587109818063         0.023212646048209606       -1.0407162007226967        
Redshift      All|All|All                           All                  All      4.182773218550464          -0.6797019824003048        3.9764808819899855         -1.4064160651850621        
