#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4349.52243994705      All      -1.2071474967121476        0.8799920771050296        0.05944802889465417       0.6825029165393306         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5361.099300391212     All      0.555416647977526          0.3780071440880661        -0.09693113540956699      -0.06211370340083733       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7864.6414151161525    All      0.4903500860578428         -0.11971556721137588      0.1188101392975649        -0.19341650299200402       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6360.469874423363     All      1.286062805865536          -0.2099662892998566       -0.11456684204362855      -0.49241848616461553       
Check         All|All|All                       All                   All      1.1246820431887572         0.9283173646818632        -0.03323980926097647      -0.06544577601812629       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4349.52243994705      All      -0.0007090277948391213     0.00032941406331526247    -0.0008731437553523712    0.0002992902813260941      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5361.099300391212     All      0.00035699134604538427     -1.540512757173439e-05    -0.0009573344388656588    -0.00016402322206570487    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7864.6414151161525    All      4.087608533158493e-05      1.249511921622207e-06     0.0001470269217714738     -6.346542386733163e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6360.469874423363     All      -0.00025630310401454187    -3.666781244155416e-05    -0.0005724951410156863    4.599461148333508e-05      
MWEBV         All|All|All                       All                   All      -0.7897709962775941        -4.094821877952448        -0.007976378368357295     -1.0769197542382147        
Redshift      All|All|All                       All                   All      3.3376967436206684         -0.7939286997904027       -1.2996190708668864       -1.4038023635569497        
