#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4349.52243994705      All      -1.1403742756236548       0.7939801722664619        -0.13202900317127556       0.6241910340246424        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5361.099300391212     All      0.5624472862403931        0.4189627115692929        0.04150760236592828        -0.04488535281660197      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7864.6414151161525    All      0.3747824881853949        -0.07703525630979868      0.08541299256761829        -0.14336031417375567      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6360.469874423363     All      1.201911816544536         -0.13788896705380083      0.006014919747029608       -0.43614877511172434      
Check         All|All|All                       All                   All      0.9987673153466691        0.9980186604721553        0.0009065115093006238      -0.0002034080774396263    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4349.52243994705      All      -0.0005901769811010769    0.00024001781402385633    -0.0008685243225883423     0.0002316635058404985     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5361.099300391212     All      0.00012860651022268614    1.6288402813218074e-05    -0.0009613653676348705     -7.948702370535679e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7864.6414151161525    All      1.0919712539437502e-06    8.087011057744763e-06     7.632162822295651e-05      5.6843983291029496e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6360.469874423363     All      -0.0002982210460821139    -1.534503431890289e-05    -0.00047506573234475585    7.094202163908127e-05     
MWEBV         All|All|All                       All                   All      -0.8435730153052599       -4.0595535687012685       0.017026043282303078       -1.0467908747447339       
Redshift      All|All|All                       All                   All      3.591919900183103         -0.15857304563846597      -0.783630717773395         -1.2566287798555453       
