#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          3498.5765675996167    All      -0.44679799547362814      0.25217480768837675        0.48831055118314537        0.2494694946821159        
Zeropoint     AB|DECam|DECam_z          6619.807770551026     All      1.2941907283884637        0.08343749271428891        3.188381453678656          -0.2520993408860583       
Zeropoint     AB|DECam|DECam_r          4649.8681646185205    All      -0.06606829390736946      0.5792227379863846         0.3657085320772009         0.226512410680238         
Zeropoint     AB|DECam|DECam_i          5649.009040322983     All      0.21564848928471725       0.08327880391334475        -4.007308853292658         -0.22194495057735072      
Check         All|All|All               All                   All      0.9969729282921834        0.998113842302395          0.03509168364634441        0.0019376138989448954     
Lambda        AB|DECam|DECam_g          3498.5765675996167    All      -0.0007052683945662715    0.00036744371540808245     0.0005752385146416245      0.0003750878783323311     
Lambda        AB|DECam|DECam_z          6619.807770551026     All      -0.0005610551954795992    -3.765744715530082e-05     -0.0014857561618503287     0.00010418539223153204    
Lambda        AB|DECam|DECam_r          4649.8681646185205    All      -0.0002108656780906743    -0.00015484507434530798    -0.0014858587966890403     -4.80593001306294e-05     
Lambda        AB|DECam|DECam_i          5649.009040322983     All      -0.0002070744206918208    -4.566111414707982e-05     -0.00031977996596184227    3.830731309705817e-05     
MWEBV         All|All|All               All                   All      -0.465676099283185        -2.5977966274050246        0.0999205381001599         -0.6900428059941751       
Redshift      All|All|All               All                   All      3.8043235882392605        0.042582541333047175       -7.383844657524391         -1.5548298908752622       
