#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_v12                   5443.381056358761     All      -0.0019272853155170733     0.0031635817295150304      -0.06981493732884508       -0.001457257123459177      
Zeropoint     Linear_AB11_off|NB99|NB99_r5                    6579.62403363802      All      0.018539487184510626       0.002727913684630323       -0.04271472705365889       -0.007056511760987483      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8226.746701652763     All      0.0810940526822492         -0.011970395658655875      0.054894466090106564       -0.02786446465360276       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5395.20060282823      All      0.19550743975795865        0.14116037190130548        0.226306831316421          -0.007603593474365955      
Zeropoint     Linear_AB11_off|NB99|NB99_i8                    8268.990338411426     All      0.024738235172054066       -0.007886835217796317      -0.012442524622852114      -0.011182311486378216      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4400.006496496901     All      -0.2113231184288329        0.17557569755806135        -0.03312119182651008       0.1245476262888151         
Zeropoint     Linear_AB11_off|NB99|NB99_r1                    6554.931148245616     All      0.09553909045009332        -0.00934799472456227       0.03475062011762675        -0.032614413751967664      
Zeropoint     Linear_AB11_off|NB99|NB99_b1                    4263.566466324012     All      -0.06589868836226034       0.048992712141338046       0.00037606826593372666     0.037440691158316386       
Zeropoint     Linear_AB11_off|NB99|NB99_i10                   7915.030027623326     All      0.002461532516584865       -8.15146128374522e-07      -0.0028288720418739866     -0.000928307209267093      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4364.422685267205     All      -0.2140714109225293        0.1422298075163031         -0.12717878186662562       0.11038362388374745        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4325.052633040649     All      -0.07753016976152272       0.13286992035159706        0.22411456672815286        0.07853543509930838        
Zeropoint     Linear_AB11_off|NB99|NB99_i12                   8082.155153645849     All      0.016979808545679535       -0.006188017806474377      -0.011581845943762353      -0.008063367832719659      
Zeropoint     Linear_AB11_off|NB99|NB99_b6                    4410.104082317617     All      -0.033300906623195035      0.016895593036370116       -0.04297864087439013       0.014432712006440945       
Zeropoint     Linear_AB11_off|NB99|NB99_b4                    4261.421580593448     All      -0.04227944288255322       0.01038124154004727        -0.07399589717242971       0.013851220361556227       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6544.213510774286     All      0.21378408881534244        0.019449735279719604       0.3305327043200391         -0.04855093584487866       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6525.790205489924     All      0.19498721970505187        -0.03758007447181022       -0.10543994377346932       -0.08046011937258221       
