#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_v12                   5443.381056358761     All      -0.002093870339806018      0.0034395663153219402      -0.07602006781047392       -0.001590004115604876      
Zeropoint     Linear_AB11_off|NB99|NB99_r5                    6579.62403363802      All      0.028494755529802303       0.0019966398800530527      -0.050399338747152064      -0.010880399041729345      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I       8226.746701652763     All      0.06956168411200976        -0.011063629842666955      0.03936339043186365        -0.024505709923619348      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5395.20060282823      All      0.1964801286608527         0.13814366537325817        0.25834767514942053        -0.007473235111441016      
Zeropoint     Linear_AB11_off|NB99|NB99_i8                    8268.990338411426     All      0.02446335267227493        -0.007974267753452224      -0.013972437312958238      -0.011189525842867242      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4400.006496496901     All      -0.20616237260526127       0.16828072421666285        -0.014193259252236228      0.12133505547373544        
Zeropoint     Linear_AB11_off|NB99|NB99_r1                    6554.931148245616     All      0.10567384936284642        -0.009210824306471466      0.04385967256532954        -0.035464462061194704      
Zeropoint     Linear_AB11_off|NB99|NB99_b1                    4263.566466324012     All      -0.07683570633170307       0.057357479803288314       0.006930432211097574       0.04402040890811458        
Zeropoint     Linear_AB11_off|NB99|NB99_i10                   7915.030027623326     All      0.0025224544404361766      -0.00015654011940036128    -0.0028772324455013237     -0.0010010343338339477     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4364.422685267205     All      -0.2032109348942174        0.14149127626281732        -0.08158668539551027       0.10864001148464164        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_B      4325.052633040649     All      -0.07355218810205746       0.12404760173332363        0.214957938569436          0.07395733792162666        
Zeropoint     Linear_AB11_off|NB99|NB99_i12                   8082.155153645849     All      0.01717272948254676        -0.006389854068711287      -0.013157929867438556      -0.008262286626416003      
Zeropoint     Linear_AB11_off|NB99|NB99_b6                    4410.104082317617     All      -0.03536397487347377       0.017948340030304877       -0.04434076740684072       0.01538685008763566        
Zeropoint     Linear_AB11_off|NB99|NB99_b4                    4261.421580593448     All      -0.04636252561343452       0.011535703040754797       -0.07925227800086163       0.015322692693182826       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6544.213510774286     All      0.21633976473308242        0.019983248507182694       0.3329445397941489         -0.04910199162022845       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6525.790205489924     All      0.1816071387045228         -0.03367786914805215       -0.10557592880267117       -0.07483677853372668       
Zeropoint     Linear_AB11_off|NB99|NB99_i6                    8005.956483573866     All      0.03029017570364526        -0.01157152319666288       -0.02632805371212128       -0.014810632657611974      
Zeropoint     Linear_AB11_off|NB99|NB99_r6                    6574.594409243805     All      0.05296456601637279        -0.027474701789431677      -0.1740223436528516        -0.0339675338391678        
Zeropoint     Linear_AB11_off|NB99|NB99_r4                    6525.623380849077     All      0.05664638806099455        0.0015826001673158174      0.06800581021672097        -0.01490130029120129       
Zeropoint     Linear_AB11_off|NB99|NB99_v10                   5419.320320291353     All      -0.008275614242973703      0.0019545067495574386      -0.04610786344402211       0.001274704788501665       
Zeropoint     Linear_AB11_off|NB99|NB99_r7                    6398.844624403914     All      0.04136135835109889        0.004364272732138019       0.05852637879307701        -0.009439404470459063      
Zeropoint     Linear_AB11_off|NB99|NB99_b5                    4390.373864138517     All      -0.030140771613637405      0.014971065044244725       -0.06050392450916736       0.011994397068445017       
Zeropoint     Linear_AB11_off|NB99|NB99_r12                   6550.576113496567     All      0.028542209319437125       -0.014872951786903954      -0.09516165666103936       -0.018388373963812207      
Zeropoint     Linear_AB11_off|NB99|NB99_b8                    4377.727549129093     All      -0.07949806530444695       0.03267903318198151        -0.11450205886529155       0.03143007049572753        
Zeropoint     Linear_AB11_off|NB99|NB99_r10                   7367.796707166076     All      0.002449991676605425       -0.0004471987695264801     -0.012506146847643406      -0.001501802138195131      
Zeropoint     Linear_AB11_off|NB99|NB99_b12                   4426.181062357691     All      -0.023142149629317925      0.011504557125308068       -0.030820014227868828      0.009910216548992823       
Zeropoint     Linear_AB11_off|NB99|NB99_v1                    5507.095562631137     All      0.07110083745723274        0.031156847314539604       0.04782214815557312        -0.010876988874716486      
Zeropoint     Linear_AB11_off|NB99|NB99_v5                    5494.62754633533      All      -0.010953454166291733      0.017326830639730062       -0.13320352973386027       0.003267557404717569       
Zeropoint     Linear_AB11_off|NB99|NB99_i1                    7966.569631069817     All      0.04256069359535721        -0.010870096009707453      -0.002699373927259248      -0.017524626655732633      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5375.5469813279615    All      0.22196344611683888        0.12657044045703003        0.5629565275743967         -0.005950476020233394      
Zeropoint     Linear_AB11_off|NB99|NB99_v6                    5505.3121444434955    All      0.0024585028295825775      0.0067647128093373254      -0.1871581156423226        -0.006949332854476694      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5375.6635394152845    All      0.09156601441554905        0.08721656185151083        -0.021483972816079052      -0.0023754908273097915     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6400.47361319123      All      0.2687965160803523         0.00013590429683851823     0.16434372743755937        -0.08017769417738377       
Zeropoint     Linear_AB11_off|NB99|NB99_v8                    5390.5212978306945    All      -0.000864442877413359      0.022690962651372715       -0.2345410249920991        -0.0027937182068832273     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7934.2002167451155    All      0.08625802192463054        -0.010554848887567303      0.05882448071075488        -0.028910070669323922      
Zeropoint     Linear_AB11_off|NB99|NB99_b10                   4421.883471340076     All      -0.005554979004992307      0.001321466513459768       -0.01560486513191505       0.0015435110734135873      
Zeropoint     Linear_AB11_off|NB99|NB99_v4                    5490.524367433714     All      0.014833337668500153       0.007109049383791088       -0.004644191352759959      -0.002723303745940449      
Zeropoint     Linear_AB11_off|NB99|NB99_v7                    5363.383857397477     All      0.019822804517559196       0.014490583475490482       0.041880646240764256       0.00013206107261107185     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_U      3599.358077436082     All      -0.08980439604638504       0.05585282862003993        0.017467776009505512       0.048224856670920926       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I         8238.94879155955      All      0.053448773225968485       -0.002277203624512225      0.07120550218315591        -0.01497420946299295       
