#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4800.585654016932    All      -1.093792687530712         1.270305025130103          0.18430386988093073        0.7782890367539097         
Zeropoint     AB|PS|PS_r                6096.417888443242    All      1.1647799359097415         -0.08348707033478675       -0.6174073682540859        -0.4341536858942469        
Zeropoint     AB|PS|PS_i                7384.082404979716    All      0.5537988819637807         -0.10212373798568208       0.2883620562925904         -0.2007873023574521        
Zeropoint     AB|PS|PS_z                8486.112449826718    All      0.37409959300335727        -0.0850995430756285        0.1478443760543513         -0.1429786503451269        
Check         All|All|All               All                  All      0.9988857233461672         0.9995946737340056         0.0031029339737864703      0.00036939815708378343     
Lambda        AB|PS|PS_g                4800.585654016932    All      -0.00020537908272475245    -3.2387273277801775e-05    -0.001174411057388768      3.94055198198353e-06       
Lambda        AB|PS|PS_r                6096.417888443242    All      -8.013808605572133e-05     -6.959172846610676e-06     -0.00022830419154616356    1.3648612041461317e-05     
Lambda        AB|PS|PS_i                7384.082404979716    All      -0.00010192889516551318    2.967277288504559e-06      -0.00026477211959642703    2.235257070661474e-05      
Lambda        AB|PS|PS_z                8486.112449826718    All      0.0003533667966003119      -7.683886672055946e-05     0.0002290810330401598      -0.00012990930351608127    
MWEBV         All|All|All               All                  All      -0.7017384699864757        -4.065424969969467         0.08480430062816069        -1.0918789285983495        
Redshift      All|All|All               All                  All      3.3459276205199746         1.5296379586063225         2.9664943427904156         -0.4592442791372525        
