#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4800.585654016932    All      -1.1092069586018385        1.2546267504888853        0.06145209288429046        0.7727207315361145         
Zeropoint     AB|PS|PS_r                6096.417888443242    All      1.206916095931498          -0.07198928508218572      -0.46952013646368246       -0.4375340845958333        
Zeropoint     AB|PS|PS_i                7384.082404979716    All      0.5396998639210131         -0.10106164945780094      0.2616147366149268         -0.19704244119301922       
Zeropoint     AB|PS|PS_z                8486.112449826718    All      0.3619240923366078         -0.08219111425669112      0.14961877942170432        -0.13798613479235358       
Check         All|All|All               All                  All      0.9993330935872804         0.9993847016922075        0.003165472457239138       0.0001580709549084125      
Lambda        AB|PS|PS_g                4800.585654016932    All      -0.00016284029652606732    -6.758466573729531e-05    -0.0010062927188029395     -1.3878329539814556e-05    
Lambda        AB|PS|PS_r                6096.417888443242    All      -0.00020200213670364348    -1.839814837747427e-05    -0.0005787900606501222     3.3977117269414486e-05     
Lambda        AB|PS|PS_i                7384.082404979716    All      -0.00012494950825505625    3.3677464080906667e-07    -0.00034957837816866426    2.5209786673211177e-05     
Lambda        AB|PS|PS_z                8486.112449826718    All      0.00034329021236337954     -7.42934915808207e-05     0.00021341363319484933     -0.0001264970801943016     
MWEBV         All|All|All               All                  All      -0.700626740093782         -4.065733729197252        0.0856921947931231         -1.0923020059989617        
Redshift      All|All|All               All                  All      3.8492250314218297         1.666733233635842         3.5231618346316482         -0.5536868490037302        
