#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4176.317838147105    All      -0.5284968534894461        0.3824091463750179        -0.17743442946192012       0.2887939684130883        
Zeropoint     AB|PS|PS_i                6423.856855977723    All      1.0346323274253328         -0.18539357986320226      -0.906879818163242         -0.43787245680029296      
Zeropoint     AB|PS|PS_z                7382.578992435693    All      0.7482254433732016         -0.32064002178220363      0.6351694322662915         -0.31981995209606623      
Zeropoint     AB|PS|PS_r                5303.640141281568    All      -0.25674860947471734       1.1133876381796526        0.44485983861770606        0.46615050343485204       
Check         All|All|All               All                  All      0.9976123078343709         0.9897631829092646        -0.00428497674116457       -0.002747937048418858     
Lambda        AB|PS|PS_g                4176.317838147105    All      -0.0007980653032240242     0.0006513179304069582     -0.00029210680270845763    0.0004590764174788025     
Lambda        AB|PS|PS_i                6423.856855977723    All      -0.00019548583453841243    0.00010371622194143635    -0.00043822980403139793    7.790376981353332e-05     
Lambda        AB|PS|PS_z                7382.578992435693    All      0.0001904077154249512      -7.33233473564485e-05     -0.00022187629598778314    -9.580720369111596e-05    
Lambda        AB|PS|PS_r                5303.640141281568    All      -0.00040450282503300193    0.0011083141645778789     -0.000671999785759123      0.0004627859996618505     
MWEBV         All|All|All               All                  All      -0.5007971797800592        -3.39621204527365         0.10712841898716796        -0.9383512286945762       
Redshift      All|All|All               All                  All      7.170467948965424          -5.047553462402199        -2.8465344867108833        -4.106839295129321        
