#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4176.317838147105    All      -0.753516781914867        0.6236932482059032        -0.2000477696811222        0.439675402499823         
Zeropoint     AB|PS|PS_i                6423.856855977723    All      1.1208759024088564        -0.21191128478736942      -0.6334525821893839        -0.46240071366650537      
Zeropoint     AB|PS|PS_z                7382.578992435693    All      0.5813134286812309        -0.09822657812090796      0.4356184729441487         -0.20190888469341708      
Zeropoint     AB|PS|PS_r                5303.640141281568    All      0.04677116843600382       0.6855760815140499        0.3920194437940274         0.22557380354326642       
Check         All|All|All               All                  All      0.995443717611224         0.9991314668116758        -0.0058624351323300905     0.0009396076831669764     
Lambda        AB|PS|PS_g                4176.317838147105    All      -0.0008243554267009061    0.0006451047163527944     -0.00036707471121365844    0.0004622706539470454     
Lambda        AB|PS|PS_i                6423.856855977723    All      -0.0005692081912686844    0.00010080743642784137    -0.0017098184400962612     0.00014194478873072897    
Lambda        AB|PS|PS_z                7382.578992435693    All      -7.26156959193887e-05     0.000153983618022902      -0.0011195235745511329     2.3851656100581595e-05    
Lambda        AB|PS|PS_r                5303.640141281568    All      -9.350406712783314e-05    0.0004431539537450367     -0.0007389997133858        0.00014182900981726882    
MWEBV         All|All|All               All                  All      -0.5315541155669945       -3.371384778054498        0.05276521445779489        -0.92267160524651         
Redshift      All|All|All               All                  All      8.9466312231506           -3.571589665119035        4.934544587540185          -3.857390319145482        
