#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5199.726104776278     All      0.7637633603556087        0.09325268237105888        -0.21436944533066618      -0.22797371074750852       
Zeropoint     AB|MEGACAMPSF|i           4514.306337372294     All      2.5429892598268573        0.7312695201067143         0.6353038553461144        -0.5617860298168487        
Zeropoint     AB|MEGACAMPSF|r           3691.9663448132487    All      -2.302564107701161        0.17552427454319286        -0.42059445397439         0.7884257140227566         
Check         All|All|All               All                   All      1.0041885124813046        1.000046477020966          0.000339956041058298      -0.0013340265416005304     
Lambda        AB|MEGACAMPSF|z           5199.726104776278     All      0.0003011112804746946     1.4445416697160082e-05     -0.0003768872519457206    -0.00011019524993293102    
Lambda        AB|MEGACAMPSF|i           4514.306337372294     All      -0.0003904354752279429    -0.00030412372823227727    -0.002953507014573071     -0.00010368687752470527    
Lambda        AB|MEGACAMPSF|r           3691.9663448132487    All      -0.004485694262286206     0.00017374809782355478     -0.0018130663160411133    0.001436824845215677       
MWEBV         All|All|All               All                   All      -0.1801315229865892       -1.9571885014197932        -0.015936934861486566     -0.5795571135209211        
Redshift      All|All|All               All                   All      11.060373576737263        1.4046862712824293         5.404489055522786         -2.903997493435899         
