#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5871.745470569615    All      1.0532264663111848        -0.025212828189502545     -2.6030893809719458       -0.46744708133349966       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7179.107933124826    All      0.9099007361835026        -0.15928404374019323      2.6480676183023633        -0.23009756228543066       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5072.461411561137    All      -0.04456864705394287      0.5855996680541153        -1.0821260634640062       0.15697623596530597        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4152.376001991764    All      -0.9188976740330617       0.5968310827659806        1.0849247836650866        0.5421379323000519         
Check         All|All|All                              All                  All      0.9996608814076828        0.9979338788904002        0.04777695753149791       0.001569524646427567       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5871.745470569615    All      3.308301889603066e-05     3.322120464647474e-05     -0.0003419938440860915    -1.5216602895553898e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7179.107933124826    All      -0.0004944839145772921    0.00011006993843323473    -0.0013298646278272455    0.00013757732866390694     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5072.461411561137    All      -8.402388318745423e-05    0.00021672965521550794    -0.002073417090566393     5.438240063637229e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4152.376001991764    All      -0.0008540315575643095    0.0004505512421629714     0.00022549765964940144    0.0004350084622473124      
MWEBV         All|All|All                              All                  All      -0.7508013575003702       -3.8252302109723857       0.25195412212974944       -0.9901990679935635        
Redshift      All|All|All                              All                  All      8.273196333722826         -1.6799294094333561       21.989528237662736        -2.260768851660061         
