#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5871.745470569615    All      1.1387126022514562        -0.007714882656895128     -1.2151431722323116        -0.42765540700461824       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7179.107933124826    All      0.7365000514205643        -0.13800806451857994      1.1637105054643362         -0.23292500869398378       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5072.461411561137    All      0.06797079145663532       0.589079643059609         -0.3779000297149162        0.15287835424496096        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4152.376001991764    All      -0.9459855683530842       0.5547990851152207        0.44024214161373554        0.5085009208043605         
Check         All|All|All                              All                  All      0.9971978767755716        0.9981557809993546        0.010909445130843909       0.0007988593507194386      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5871.745470569615    All      -0.0001754622258751441    2.9523047947393558e-05    -0.00017807547693777048    5.8823756834548234e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7179.107933124826    All      -0.0004377908140248691    0.00010549099977627786    -0.0006470155153269217     0.00014809142938155008     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5072.461411561137    All      -7.708485939855778e-05    4.038777936548936e-05     -0.0015493233989760284     -3.0874484330836744e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4152.376001991764    All      -0.0006360966008798225    0.0002642841929120683     -0.0008476370390205591     0.0002554574981909037      
MWEBV         All|All|All                              All                  All      -0.7719245883416801       -3.8179642415810733       0.1485278638178539         -0.9855672103896898        
Redshift      All|All|All                              All                  All      7.68222390623786          0.08244288782393028       12.410624498506087         -1.921669531634722         
