#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4360.359063872721     All      -0.46974844647335384       0.35733098737251723       -0.06942355435348713       0.2663089273288089         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6215.284163708402     All      0.7294259273554319         -0.10082559380464318      -0.02004992050772536       -0.2713349707718676        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5393.740557584318     All      0.1403394635927219         0.31125142934387284       -0.00800026287004485       0.05531463509379636        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4361.418631426251     All      -0.5060185469049936        0.40429160945292253       -0.0013542957204792927     0.29645753024241384        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7572.222704531898     All      0.2945682591989166         -0.07609531416159498      0.0868748325362878         -0.11686049553844956       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6376.3166762208775    All      0.5556721202461862         -0.08546185516689064      0.07558843979345031        -0.20546526357048017       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7884.235787257593     All      0.1812071487617524         -0.050727358563751324     0.047006079246125765       -0.07345103402892003       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5374.456218937705     All      0.07089403799822983        0.2371345503409117        -0.11019769974904836       0.049232386800346015       
Check         All|All|All                                All                   All      0.9963399637748914         0.9968984548133442        0.00044361837507889135     0.00020171555564775512     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4360.359063872721     All      -0.00046587638548338864    0.0003174771641175059     -0.00023693900485650783    0.00024459052310604333     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6215.284163708402     All      0.00017333823209595147     -2.342439982770367e-05    1.1141164478093977e-05     -6.359488351470888e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5393.740557584318     All      3.3815123436626264e-06     0.0001715943307933606     -0.0006363062719513705     2.6397022538228084e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4361.418631426251     All      -0.00046210990611969874    0.00032570652126959876    -0.00015964581774642839    0.000249493469171999       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7572.222704531898     All      4.010198818471698e-06      -5.923369425071267e-06    -3.787889850836334e-05     -4.926051250550079e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6376.3166762208775    All      5.2209865809815e-05        -2.886091612466327e-05    -0.0001544057842151449     -3.3297841814968444e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7884.235787257593     All      4.4844361023634354e-05     -8.752069257297012e-06    4.055752660134039e-05      -1.5648224474445515e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5374.456218937705     All      -2.243993159851607e-05     0.0001502977277683937     -0.0005098722094062037     3.3513083608553704e-05     
MWEBV         All|All|All                                All                   All      -0.8317246447021867        -4.087869412912681        0.02689079055366861        -1.0594334625096555        
Redshift      All|All|All                                All                   All      4.762665637445818          0.04217542040887423       -0.42358856459807637       -1.5565217753703195        
