#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7391.575173182024     All      0.5254281033757386        -0.42638556562684116       0.17294597770983694        -0.3023192410606945        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4256.335696966697     All      -0.6741021167194872       0.5165055359346304         -0.1975230419143179        0.37900553612764043        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7696.144682819262     All      0.25142530671534125       -0.0006092744686547746     0.48108913472771875        -0.06062715626263796       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6067.008580088824     All      0.1703214641555848        0.1913403522776136         -2.473421014828725         -0.10353087651775457       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5246.239936059757     All      0.650426111462064         -0.28988752040541854       2.8423593035872066         -0.1794496440638551        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5265.064215843055     All      -0.4294913864342381       0.6096523500137785         -1.8469340726108916        0.25606311677535           
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4257.369986834887     All      -0.28420974190505943      0.1989616616815404         -0.07583704142674723       0.15400056316323632        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6224.1994034450845    All      0.787997564405351         0.2070175183445322         1.1029910559340759         -0.1400228897061402        
Check         All|All|All                                All                   All      0.9977953050552948        1.0065950577511806         0.005670301178156478       0.003119408455144357       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7391.575173182024     All      2.2174233738814323e-05    -0.00012326746810193472    -0.00019659443072961172    -5.614825369729833e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4256.335696966697     All      -0.0007209456933942873    0.0005761288689727391      -0.00043302385997526574    0.0004031759913845         
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7696.144682819262     All      -9.106289908611336e-05    1.0565448557191561e-06     -0.00017154129310895027    2.2351233480751246e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6067.008580088824     All      1.748851591360946e-05     -0.00010319757932441348    -2.4004843466954846e-05    -4.0382657587295035e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5246.239936059757     All      0.0003347499758512486     -0.0001223050515140301     0.0012624704072247844      -9.253960311904992e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5265.064215843055     All      -0.0005321253624713193    0.0006427710306641416      -0.0024222405558011954     0.00027460893713052024     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4257.369986834887     All      -0.0002783902995655569    0.00019374699155597268     -6.273530172473821e-05     0.00015099106019063208     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6224.1994034450845    All      -0.0001647461444808706    -4.794786221304517e-05     -0.00046624605212334895    1.7238623168380007e-05     
MWEBV         All|All|All                                All                   All      -0.7477907729650992       -4.015342142641298         0.1570330989115814         -1.0573413143730659        
Redshift      All|All|All                                All                   All      9.372770495560731         -2.7904935925541885        12.983756608150648         -3.3825698478170296        
