#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R 6474.922583819957 All 1.236920981713183 -0.28329796157481635 3.481260436175103 -0.33983265913094796
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I 7767.887063703373 All 0.8652733558886092 0.8718909493314699 10.054603315279781 0.45084633473491553
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V 5326.680015988586 All 0.22935297272178445 0.7138927181141694 -4.046897006032397 -0.02276389069513142
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B 4338.478901244608 All -0.5636226072993722 -0.4179644047499105 -3.453479265474528 -0.1066672497786803
Check All|All|All All All 1.7679247030242045 0.8845213011209125 6.0354874799479585 -0.01841746486984415
