#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R 6474.922583819957 All 1.0176594546514017 -0.5425171693927693 -1.2421014442383727 -0.5636301374282828
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I 7767.887063703373 All 0.19791342200544898 -0.13510339464604737 -0.077715009422338 -0.11194259704962758
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V 5326.680015988586 All -1.0057161076846004 0.8395994935782358 -14.532105682736221 -0.047421132661897764
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B 4338.478901244608 All -0.5450450267576892 -0.2033996702824945 -2.4143789350266016 0.0035424893734691543
Check All|All|All All All -0.3351882577854388 -0.041420740743075335 -18.266301071423534 -0.719451377766339
