#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4022.220776820978    All      -2.750754979262246        0.49175623015855763      0.12135442061955715       1.0616080667901249        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4816.613357229475    All      3.744314138698008         0.5105853005638039       -0.11386149345027352      -1.0584129846048507       
Check         All|All|All                            All                  All      0.9935591594357617        1.0023415307223615       0.007492927169283625      0.0031950821852742006     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4022.220776820978    All      -0.0011204143215981137    7.239394652599328e-05    -0.0014698792083091903    0.00032294293699861504    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4816.613357229475    All      -0.0006317181723195163    -0.000202571880032095    -0.0018519054329391186    5.7145031913603246e-05    
MWEBV         All|All|All                            All                  All      -0.07410703010840192      -2.035053295360534       0.02678950255716739       -0.6375492193491206       
Redshift      All|All|All                            All                  All      3.1074958039175526        0.3062718409418963       4.133097580344969         -0.7280096398919855       
