#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.241323437535     All      -0.861058634645583        0.4361881202272322         -0.4993395618515084        0.40027271495086597       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.117082040415     All      0.07857562413675878       1.2384415233833934         1.0862638849507444         0.42628144999507717       
Zeropoint     AB|CNIa02|SDSS_i                      7419.2532481505805    All      0.6437387859090291        -0.27985112129877976       -0.06915601221000323       -0.3039297331858565       
Zeropoint     AB|CNIa02|SDSS_r                      6118.089826766296     All      1.1294887519383683        -0.39361700455726734       -0.5194659331291707        -0.5193070323564599       
Check         All|All|All                           All                   All      0.990744527338573         1.0011615177545785         -0.001697622239937857      0.003317399403626742      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.241323437535     All      -0.0006847561623063016    0.000340816766767199       -0.0004750427785340555     0.00031286386593300816    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.117082040415     All      -0.0001727725092959845    0.00014070073686758212     -0.0005973540243480608     7.545138268009195e-05     
Lambda        AB|CNIa02|SDSS_i                      7419.2532481505805    All      0.00012913395733055267    -0.00010696535803200634    -0.0002435895367159086     -8.777559670769983e-05    
Lambda        AB|CNIa02|SDSS_r                      6118.089826766296     All      0.0002129849113084824     -8.135840473788117e-05     -1.8474744566191894e-05    -9.670174464232307e-05    
MWEBV         All|All|All                           All                   All      -0.854242295795332        -4.0902783036260715        -0.01036848002147206       -1.0545460878155315       
Redshift      All|All|All                           All                   All      5.829781305992474         -1.68213619301385          0.7129698949640106         -2.4150620923114836       
