#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.241323437535     All      -1.0137045030008511        0.5404344096233693        -0.538300616270022         0.48221228931440635       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.117082040415     All      0.25275358131258097        1.0822202429337402        1.289183436597993          0.3277149161026333        
Zeropoint     AB|CNIa02|SDSS_i                      7419.2532481505805    All      0.5725692873554294         -0.2441543606287233       -0.06536420482639436       -0.26895066581282373      
Zeropoint     AB|CNIa02|SDSS_r                      6118.089826766296     All      1.1844695156310796         -0.37894995600114         -0.6861908105899787        -0.5398787011996895       
Check         All|All|All                           All                   All      0.9960878812982392         0.9995503359272462        -0.0006721950884019945     0.0010978384045263745     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.241323437535     All      -0.0005945622009128888     0.0003015226941228313     -0.00040193413256242084    0.00027394785631096693    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.117082040415     All      -0.00011413430087472745    4.1685643406271185e-05    -0.0007104966561911517     1.9049479603521455e-05    
Lambda        AB|CNIa02|SDSS_i                      7419.2532481505805    All      5.9137976964052964e-05     -8.89249385744111e-05     -0.0003340142355560072     -6.313448397708048e-05    
Lambda        AB|CNIa02|SDSS_r                      6118.089826766296     All      3.0599421346887566e-05     -3.643187955616357e-05    -0.00024375537117100567    -3.271198265585632e-05    
MWEBV         All|All|All                           All                   All      -0.8694109455211838        -4.0828418995437765       -0.012811893781794158      -1.047291916439967        
Redshift      All|All|All                           All                   All      5.959658543728801          -1.2636892102161568       0.13811524016554025        -2.3467185557140975       
