#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4578.934172208419    All      -1.1145230634035392       1.2445644862708605         -0.8656462728246161       0.7298026092174031        
Zeropoint     AB|PS|PS_i                7043.14633492118     All      0.31810982897533835       0.25318508299037035        -2.647001565211804        -0.13927164834494632      
Zeropoint     AB|PS|PS_z                8094.293714601393    All      0.6470248747430556        -0.03430471091263598       1.451133840633645         -0.15717402263481506      
Zeropoint     AB|PS|PS_r                5814.935553560483    All      1.1327237167406448        -0.4591489819762984        1.8680417735123633        -0.43516318428200307      
Check         All|All|All               All                  All      0.9833353570554992        1.0042958763722964         -0.19347222389041185      -0.0018062460443613038    
Lambda        AB|PS|PS_g                4578.934172208419    All      -0.000303308176147328     0.00019579776274366095     -0.0006616125611869942    0.00013305049446526735    
Lambda        AB|PS|PS_i                7043.14633492118     All      -0.0001374633596233111    -0.00024185779390518874    0.0009409039780808687     7.98352140560306e-06      
Lambda        AB|PS|PS_z                8094.293714601393    All      0.00021378789850449949    -0.00013439651676293684    0.0005341629588986692     -8.95778794457064e-05     
Lambda        AB|PS|PS_r                5814.935553560483    All      -0.0005325907169406247    0.0004496548888313795      -0.0019545070759648363    0.0002327290346465217     
MWEBV         All|All|All               All                  All      -0.5758840113090535       -3.8078341414868433        0.21254535481873837       -1.043267562399877        
Redshift      All|All|All               All                  All      2.4811604965658876        -0.7955646386266224        -0.12908190616283122      -1.0730975102074325       
