#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5437.829896642021    All      0.6772358757293293         0.14257766514322867        -0.14741004504058502       -0.1807340022008667        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4346.603691174124    All      -0.7652792073770582        0.41435484657306176        -0.30751195064701153       0.37052277417312035        
Zeropoint     AB|CNIa02|SDSS_g                      4692.195129345817    All      -0.5284994993238026        0.616164570917288          0.34027776191298054        0.388039779681814          
Zeropoint     AB|CNIa02|SDSS_r                      6131.296333513831    All      1.1934196731492748         -0.11327308401281044       -0.01716212482257748       -0.4263986867305467        
Zeropoint     AB|CNIa02|SDSS_i                      7435.268445844264    All      0.42202394004710964        -0.06261005511096762       0.1322414621048355         -0.15195990711717094       
Check         All|All|All                           All                  All      0.9989007822248528         0.9972139435098004         0.000435103507642004       -0.0005300421936499933     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5437.829896642021    All      7.191366204694621e-05      -3.9465741240851145e-05    -0.0008650442146509439     -7.488288621986211e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4346.603691174124    All      -0.0003262489257787617     7.384048217859298e-05      -0.0006020093843641796     0.00010345736882718634     
Lambda        AB|CNIa02|SDSS_g                      4692.195129345817    All      -1.6000834338689787e-05    -3.614384399639078e-05     -0.00010176824655084312    -1.1102690369761073e-05    
Lambda        AB|CNIa02|SDSS_r                      6131.296333513831    All      -0.00010278382565994155    -4.203137360317409e-05     -0.0005176494375227691     -3.311244587573912e-06     
Lambda        AB|CNIa02|SDSS_i                      7435.268445844264    All      -5.030627379480769e-05     -1.4722167216595816e-05    -0.0002158445871950404     1.958761606674703e-06      
MWEBV         All|All|All                           All                  All      -0.897549407155728         -4.071148587828688         0.01245051799858775        -1.0331900520218742        
Redshift      All|All|All                           All                  All      4.244121475524296          0.40239895825981975        1.7129719705839999         -1.1749333411382634        
