#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5437.829896642021    All      0.35676353406550787       0.1970965980818029         -0.6078542630257956        -0.07913451792125048       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4346.603691174124    All      -0.787379835620394        0.5709565693334362         -0.11607028639268047       0.437275171243659          
Zeropoint     AB|CNIa02|SDSS_g                      4692.195129345817    All      -0.25893529123616865      0.42864217304350305        0.5686209952898122         0.24934154418057852        
Zeropoint     AB|CNIa02|SDSS_r                      6131.296333513831    All      1.1502938362016413        -0.12609575904543036       -0.25508054256317897       -0.4271451562144063        
Zeropoint     AB|CNIa02|SDSS_i                      7435.268445844264    All      0.5345545211911564        -0.07326392659514624       0.4073444532321271         -0.17980855299462584       
Check         All|All|All                           All                  All      0.995296764601743         0.9973356548181656         -0.0030396434597156907     0.0005284882939549096      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5437.829896642021    All      3.0421500698846275e-05    -3.0321715581918613e-06    -0.001080221010205533      -5.910226405706715e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4346.603691174124    All      -0.0005397853736449776    0.00025364856740150564     -0.0006360351109840357     0.0002300642120005441      
Lambda        AB|CNIa02|SDSS_g                      4692.195129345817    All      2.9115880382575728e-06    5.770282406076581e-05      0.00018273344447417752     2.6001862513182594e-05     
Lambda        AB|CNIa02|SDSS_r                      6131.296333513831    All      9.281542795893784e-05     -5.596681767587744e-05     -0.000412896713574353      -6.68889561545608e-05      
Lambda        AB|CNIa02|SDSS_i                      7435.268445844264    All      -6.137520064082439e-05    -3.929604705501491e-05     -0.00040906564997001646    -1.1062814482111657e-05    
MWEBV         All|All|All                           All                  All      -0.8643527134189779       -4.075401814214974         0.06011854120572639        -1.0432615181273002        
Redshift      All|All|All                           All                  All      4.605885384295837         -0.7257419966410161        3.639392794679485          -1.5742770580018772        
