#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5030.319708244023     All      0.858383581834165         0.20847428886821007       -0.20516655291775177      -0.22085247906048436       
Zeropoint     VEGAHST|NICMOS2|F160W          7004.094821635596     All      0.8923356214586124        0.17766382642019352       0.5061592953102432        -0.21020455100355556       
Zeropoint     VEGAHST|ACSWF|F850LP           3935.9760402854317    All      -0.2888842744913404       0.5209352111496202        -0.9325364739532445       0.222170028895559          
Zeropoint     VEGAHST|ACSWF|F775W            3351.001295326962     All      -0.46853632500036313      0.09043490544851096       0.633416274307196         0.21034177851106187        
Check         All|All|All                    All                   All      0.9932986038010739        0.9975082318865347        0.0018725427464429956     0.0014547773425809263      
Lambda        VEGAHST|NICMOS2|F110W_faint    5030.319708244023     All      0.0005566252328247961     0.0001366065019617574     -6.450100135904082e-05    -0.00013969230229616522    
Lambda        VEGAHST|NICMOS2|F160W          7004.094821635596     All      -0.0003571487811933757    -7.145051517025764e-05    -0.0002091504686441676    8.372789961526616e-05      
Lambda        VEGAHST|ACSWF|F850LP           3935.9760402854317    All      -0.0003576381013112072    0.0004891226294737307     -0.0013094323536619443    0.00021738387567858355     
Lambda        VEGAHST|ACSWF|F775W            3351.001295326962     All      -0.0014912523940884762    0.00029753448912588515    0.002042359774530773      0.0006738078737215236      
MWEBV         All|All|All                    All                   All      -0.11580061503447014      -1.183598885104331        0.07171487204689761       -0.3446167207164287        
Redshift      All|All|All                    All                   All      3.857388645614809         -0.011717378638387288     -0.8326607140779946       -1.2974529453035446        
