#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5030.319708244023     All      0.6404619178343445         0.1314114345042583        -0.27420880471356046       -0.17805116924294595       
Zeropoint     VEGAHST|NICMOS2|F160W          7004.094821635596     All      1.0704557476798477         0.24772738969787156       0.7023556668522501         -0.23664678554502216       
Zeropoint     VEGAHST|ACSWF|F850LP           3935.9760402854317    All      -0.2470138018475192        0.46955558787065144       -1.229423743743241         0.1785466895196569         
Zeropoint     VEGAHST|ACSWF|F775W            3351.001295326962     All      -0.47399072988918084       0.14375956411001312       0.7863724163599872         0.23631378340081832        
Check         All|All|All                    All                   All      0.9899131337774922         0.9924539761827944        -0.014904465244564014      0.00016251813250711677     
Lambda        VEGAHST|NICMOS2|F110W_faint    5030.319708244023     All      0.00066814456436119        0.00015619222693525646    -5.319312873772102e-05     -0.00016913348405960956    
Lambda        VEGAHST|NICMOS2|F160W          7004.094821635596     All      -0.0003429670462822303     -8.723011941141781e-05    -0.00030789358121518004    6.956205415124848e-05      
Lambda        VEGAHST|ACSWF|F850LP           3935.9760402854317    All      -0.00039220013993540993    0.0005356323574355682     -0.0019545906913663856     0.00021500116373087406     
Lambda        VEGAHST|ACSWF|F775W            3351.001295326962     All      -0.0017325235519395092     0.0005337013884436363     0.0029185179216785957      0.0008684240702453138      
MWEBV         All|All|All                    All                   All      -0.11125412259266909       -1.180335798074772        0.07618397691191436        -0.34483533245771025       
Redshift      All|All|All                    All                   All      4.077173116584414          -0.32495496957754         0.12701266742103368        -1.4282499513763105        
